ев 	Ева		Е'ва	^
 	Евангелие		Ева'нгеліе	 
 	евангелист		евангели'стъ	 
 	Еванфия		Ева'нѳія	 
 	Еварест		Еваре'стъ	 
 	Евгений		Евге'ній, о Евге'ніи, Евге'ньевичъ	 
 	евгеника		евге'ника, евгени'стъ, евгени'ческій	 
 	Евгения		Евге'нія, Евге'ньевна	 
 	Евграф		Евгра'фъ	 
 	Евдоким		Евдоки'мъ (Овдоки'мъ)	 
 	Евдокия		Евдокі'я (Овдо'тья)	 
 	Евдоксий		Евдо'ксій	 
 	Евиласий		Евила'сій	 
 	Евкарпий		Евка'рпій	 
 	Евклий		Е'вклій	 
 	Евлалия		Евла'лія	 
 	Евлампий		Евла'мпій	 
 	Евлогий		Евло'гій	 
 	Евмениды		Евмени'ды	 
 	Евмений		Евме'ній	 
 	Евникия		Евни'кія	 
 	евнух		е'внухъ (кастра'тъ, служи'тель въ гаре'мѣ, скопе'цъ), о е'внухѣ	 
 	евнушеский		евну'шескій	 
 	Евпатий		Евпа'тій, Евпа'тій Коловра'тъ	 
 	Евпатория		Евпато'рія	 
 	Евпл		Е'вплъ	 
 	Евпраксия		Евпра'ксія	 
 	еврее		о евре'ѣ	 
 	евреев		евре'евъ	 
 	евреем		евре'емъ, евре'ями, о евре'яхъ	 
 	евреечка		евре'ечка	 
 	евреи		евре'и, евре'евъ	 
 	еврей		евре'й, о евре'ѣ, евре'ю, евре'ями	 
 	еврейка		евре'йка, евре'екъ, о евре'йкѣ	 
 	еврейские		евре'йскіе (м. р.), евре'йскія (ж. р. и ср. р.)	 
 	еврейский		евре'йскій, евре'йскихъ, евре'йскими, по евре'йски, евре'йскаго	 
 	еврейского		евре'йскаго	 
 	еврейское		евре'йское	 
 	еврейство		евре'йство	 
 	еврейчик		евре'йчикъ	 
 	евреянка		еврея'нка	 
 	Евриала		Евріа'ла	 
 	Еврипид		Еврипи'дъ	 
 	Европа		Евро'па, въ Евро'пѣ, по Евро'пѣ, изъ Евро'пы, Евро'пой	 
 	европеец		европе'ецъ, европе'йцемъ	 
 	европейские		европе'йскіе (м. р.), европе'йскія (ж. р. и ср. р.)	 
 	европейский		европе'йскій, европе'йскаго	 
 	европейского		европе'йскаго	 
 	европейское		европе'йское	 
 	европы		евро'пы (иpон. гало'помъ по евро'памъ; въ евро'пахъ побыва'лъ; что намъ до вся'кихъ тамъ евро'пъ)	 
 	Евсевий		Евсе'вій	 
 	Евсеев		Евсе'евъ	 
 	Евсей		Евсе'й	 
 	Евстафий		Евста'ѳій и Овста'ѳій	 
 	евстахиева		евста'хіева (труба')	 
 	Евстигней		Евстигне'й и Евсигне'й	 
 	Евстолия		Евсто'лія	 
 	Евстрат		Евстра'тъ	 
 	Евстратий		Евстра'тій	 
 	Евтерпа		Евте'рпа	 
 	Евтихий		Евти'хій	 
 	Евтропий		Евтро'пій	 
 	Евфалия		Евѳа'лія	 
 	Евфим		Евѳи'мъ (Ефи'мъ)	 
 	Евфимий		Евѳи'мій (Ефи'мъ)	 
 	Евфимия		Евѳи'мія (Офи'мья)	 
 	Евфрасия		Евфра'сія	 
 	Евфрат		Евфра'тъ (не Ефра'тъ!)	 
 	Евфросиния		Евфроси'нія и Офроси'нья	 
 	евхаристия		евхари'стія (причаще'ніе)	 
ег 	егермейстер		егерме'йстеръ (придво'рное зва'ніе и до'лжность, нача'льникъ егере'й)	^
 	егерь		е'герь (охо'тникъ-профессіона'лъ; солда'тъ осо'быхъ стрѣлко'выхъ полко'въ), егеря' и е'гери, егере'й и е'герей, о е'герѣ	 
 	Египет		Еги'петъ	 
 	египетские		еги'петскіе (м. р.), еги'петскія (ж. р. и ср. р.)	 
 	египетский		еги'петскій, еги'петскаго	 
 	египетского		еги'петскаго	 
 	египетское		еги'петское	 
 	его		его'	 
 	егоза		егоза' (непосѣ'да), о егозѣ'	 
 	Егор		Его'ръ	 
ед 	еда		ѣда', ѣшь, ѣдя'тъ, ѣсть, о ѣдѣ'	^
