га 	гавань		га'вань	^
 	Гавриил		Гавріи'лъ	 
 	Гаврила		Гаври'ла	 
 	гагачий		гага'чій, гага'чья, гага'чье, гага'чьяго	 
 	гадание		гада'ніе, гада'ніемъ	 
 	гаданый		га'даный, не жда'но, не га'дано	 
 	гадателем		гада'телемъ, гада'телями	 
 	гадатель		гада'тель, гада'теля	 
 	гадательница		гада'тельница	 
 	гадательные		гада'тельные (м. р.), гада'тельныя (ж. р. и ср. р.)	 
 	гадательный		гада'тельный, гада'тельнаго	 
 	гадёныш		гадёнышъ	 
 	гадкие		га'дкіе (м. р.), га'дкія (ж. р. и ср. р.)	 
 	гадкий		га'дкій, га'дкаго	 
 	гадкое		га'дкое, га'дкаго, га'же	 
 	гаер		га'еръ (кривля'ка, пая'цъ, шу'тъ), га'ерничать, га'ерство	 
 	гаже		га'же, га'дкій	 
 	газель		газе'ль	 
 	газета		газе'та, въ газе'тѣ	 
 	газетёнка		газетёнка, въ газетёнкѣ	 
 	газетка		газе'тка, въ газе'ткѣ	 
 	газетное		газе'тное, газе'тнаго	 
 	газетные		газе'тные (м. р.), газе'тныя (ж. р. и ср. р.)	 
 	газетчик		газе'тчикъ	 
 	газоосвещение		газоосвѣще'ніе	 
 	гайковёрт		гайковёртъ	 
 	гакен		га'кенъ	 
 	Галактион		Галактіо'нъ	 
 	галантерейный		галантере'йный и галанте'рный (ирoн. — чрезмѣ'рно любе'зный, вѣ'жливый до слаща'вости)	 
 	галантерея		галантере'я (това'ры, относя'щіеся къ предме'тамъ ли'чнаго обихо'да и туале'та; магази'нъ съ о'ными това'рами)	 
 	Галатея		Галате'я	 
 	галдёж		галдёжъ (многоголо'сный кри'къ, шу'мъ)	 
 	галдеть		галдѣ'ть и галди'ть	 
 	галеон		галіо'нъ (большо'е многопа'лубное па'русное су'дно XVI-XVIII вѣко'въ)	 
 	галера		гале'ра (анти'чное гребно'е многовёсельное вое'нное су'дно съ раба'ми въ ка'чествѣ гребцо'въ)	 
 	галерея		галлере'я, галдаре'я, на галлере'ѣ	 
 	галёрка		галёрка (ве'рхній я'русъ въ теа'трѣ, въ ци'ркѣ), на галёркѣ	 
 	галета		гале'та (сухо'е пече'нье, лепёшка изъ прѣ'снаго тѣ'ста)	 
 	галечник		га'лечникъ	 
 	галиматьёй		галиматьёй	 
 	галиматьёю		галиматьёю	 
 	галиматья		галиматья' (безсмы'слица, чепуха', нелѣ'пица)	 
