жа 	жаба		жа'ба, о жа'бѣ, жа'бье	^
 	жабёнок		жабёнокъ	 
 	жаберный		жа'берный	 
 	жабье		жа'бье	 
 	жавелевый		жаве'левый (жаве'левая вода' — отбѣ'ливающее сре'дство)	 
 	жаднее		жаднѣ'е	 
 	жадненький		жа'дненькій	 
 	жаднёхонький		жаднёхонькій	 
 	жажда		жа'жда, о жа'ждѣ	 
 	жаждет		жа'ждетъ, жа'ждемъ, жа'ждешь	 
 	жакет		жаке'тъ, въ жаке'тѣ	 
 	жакетка		жаке'тка, въ жаке'ткѣ	 
 	жаконет		жаконе'тъ (то'нкая бума'жная тка'нь)	 
 	жалеет		жалѣ'етъ, жалѣ'емъ, жалѣ'ешь, жалѣ'ютъ	 
 	жалейка		жале'йка, брёлка (ру'сскій наро'дный духово'й музыка'льный инструме'нтъ въ ви'дѣ ду'дки)	 
 	жаление		жа'леніе (отъ жа'лить), жалѣ'ніе (отъ жалѣ'ть)	 
 	жалеть		жалѣ'ть, жалѣ'й, жалѣ'лъ	 
 	жалея		жалѣ'я (отъ жалѣ'ть)	 
 	жалея		жалея'	 
 	жалкие		жа'лкіе (м. р.), жа'лкія (ж. р. и ср. р.)	 
 	жалкого		жа'лкаго	 
 	жалкое		жа'лкое	 
 	жалование		жа'лованіе (дѣ'йствіе)	 
 	жалованье		жа'лованье (содержа'ніе)	 
 	жаловаться		жа'ловаться	 
 	жалонёр		жалонёръ (рядово'й, поста'вленный для обозначе'нія ли'ніи, по кото'рой должны' идти', и'ли стоя'ть войска')	 
 	жалостливо		жа'лостливо	 
 	жалостливее		жа'лостливѣе	 
 	жалостнее		жа'лостнѣе	 
 	жалует		жа'луетъ	 
 	жалуется		жа'луется	 
 	жальче		жа'лче (жа'лко)	 
 	жалюзи		жалюзи', жалузи' (што'ры и'ли ста'вни изъ у'зкихъ поворо'тныхъ пласти'нокъ)	 
 	жандармерия		жандарме'рія (осо'быя полице'йскія войска', выполня'ющія роль полити'ческой охра'ны и сы'ска внутри' страны' и въ а'рміи)	 
 	Жанета		Жане'та (о'стровъ)	 
 	жар		жа'ръ, о жа'рѣ, въ жару'	 
 	жара		жара', на жарѣ'	 
 	жардиньерка		жардинье'рка (изя'щная корзи'нка, подста'вка для ко'мнатныхъ цвѣто'въ)	 
 	жарение		жа'реніе, жаре'нье	 
 	жарёнка		жарёнка (жа'реное блю'до на осно'вѣ мя'са и карто'феля съ гриба'ми)	 
 	жаренный		жа'ренный (пpич. — жа'ренный во фритю'рѣ карто'фель)	 
 	жареного		жа'ренаго	 
 	жареное		жа'реное	 
 	жаренье		жаре'нье, жа'реніе	 
