ла 	лабаз		лаба'зъ, въ лаба'зѣ, лаба'зное	^
 	лаборатория		лаборато'рія, лаборато'ріей, въ лаборато'ріи	 
 	лабораторнаго		лаборато'рнаго	 
 	лабораторное		лаборато'рное	 
 	лабораторные		лаборато'рные (м. р.), лаборато'рныя (ж. р. и ср. р.)	 
 	Лаверна		Лаве'рна	 
 	Лавр		Ла'връ, о Ла'врѣ	 
 	Лавра		Ла'вра, въ Ла'врѣ, ла'врскій	 
 	Лаврентий		Лавре'нтій	 
 	лавровый		ла'вровый (бoт. — ла'вровая ро'ща), лавро'вый (листъ, вѣно'къ)	 
 	лавры		ла'вры	 
 	лагер		ла'геръ (со'ртъ пи'ва)	 
 	лагерь		ла'герь, въ ла'герѣ, ла'геремъ, лагере'й, лагеря'ми, въ лагеря'хъ	 
 	ладан		ла'данъ (аромати'ческая смола', сжига'емая во вре'мя церко'вной слу'жбы въ кади'лѣ на горя'щихъ угля'хъ)	 
 	ладейный		ладе'йный	 
 	ладненький		ла'дненькій	 
 	Ладожское		Ла'дожское (о'зеро)	 
 	ладонь		ладо'нь и лодо'нь	 
 	ладьёй		ладьёй	 
 	ладья		ладья'	 
 	лает		ла'етъ, ла'ете, ла'емъ, ла'ешь	 
 	лажение		ла'женіе	 
 	Лажечников		Лаже'чниковъ	 
 	лажу		ла'жу, ла'зить, ла'зишь, ла'зитъ, ла'зимъ; пoв. ла'зь	 
 	Лазарев		Ла'заревъ	 
 	лазарем		ла'заремъ пѣть (жа'лобно говори'ть, льсти'во выпра'шивать)	 
 	лазарет		лазаре'тъ (небольшо'й го'спиталь при войсково'й ча'сти)	 
 	лазать		ла'зать	 
 	лазейка		лазе'йка	 
 	Лазенки		Лазе'нки	 
 	лазить		ла'зить, ла'жу, ла'зишь, ла'зитъ, ла'зимъ; пoв. ла'зь	 
 	лазоревый		лазо'ревый и лазу'ревый	 
 	лазутчик		лазу'тчикъ	 
 	Лаишев		Лаи'шевъ	 
 	лайнер		ла'йнеръ, на ла'йнерѣ	 
 	лакать		лока'ть	 
 	Лакедивские		Лакеди'вскіе (острова')	 
 	лакей		лаке'й, лаке'емъ, о лаке'ѣ, лаке'йство, лаке'йскій	 
 	лакомец		ла'комецъ, ла'комка (охо'тникъ до ла'комствъ)	 
 	лаконический		лакони'ческій, лакони'чный (кра'ткій, немногосло'вный, стро'гій по фо'рмѣ)	 
 	Лакония		Лако'нія	 
 	ламентации		ламента'ціи (жа'лобы, плачъ, вопль)	 
 	лампада		лампа'да (сосу'дъ съ фитилёмъ, наполня'емый деревя'ннымъ ма'сломъ и зажига'емый пе'редъ ико'ной)	 
 	Лангедок		Лангедо'къ	 
 	Лангеланд		Лангела'ндъ	 
 	лангет		ланге'тъ (жарко'е, пригото'вленное изъ то'нкихъ продолгова'тыхъ ло'мтиковъ вы'рѣзки)	 
 	ландшафт		ландша'фтъ	 
 	Ланкастер		Ланка'стеръ	 
 	ланцет		ланце'тъ (остроконе'чный обоюдоо'стрый хирурги'ческій но'жъ)	 
 	Лаодикея		Лаодике'я	 
 	Лаперуз		Лаперу'зъ	 
 	Лапландия		Лапла'ндія	 
 	лапсердак		лапсерда'къ (долгопо'лый сюрту'къ, носи'мый въ старину' по'льскими и галиці'йскими евре'ями)	 
 	лапта		лапта' (ру'сская наро'дная кома'ндная игра' съ мячо'мъ и би'той)	 
 	лапшевник		лапше'вникъ (запека'нка изъ лапши')	 
