ма 	мабеин		мабеи'нъ (часть туре'цкаго до'ма, въ кото'рую допуска'ются го'сти; пріёмныя апартаме'нты дворца' султа'на)	^
 	мавзолей		мавзоле'й, въ мавзоле'ѣ, мавзоле'емъ	 
 	магазин		магази'нъ (ла'вка, лаба'зъ), въ магази'нѣ	 
 	магарыч		магары'чъ и могоры'чъ (вы'пивка по по'воду нѣ'котораго собы'тія, устра'иваемая тѣ'мъ, кто имѣ'етъ отъ о'наго собы'тія вы'году)	 
 	Магдебург		Магдебу'ргъ	 
 	Магеллан		Магелла'нъ	 
 	магистерий		магисте'рій	 
 	магистр		маги'стръ (учёная сте'пень)	 
 	магические		маги'ческіе (м. р.), маги'ческія (ж. р. и ср. р.)	 
 	магический		маги'ческій, маги'ческаго	 
 	магического		маги'ческаго	 
 	магическое		маги'ческое	 
 	магия		ма'гія	 
 	магнезия		магне'зія (о'кись ма'гнія)	 
 	магнетизёр		магнетизёръ (гипнотизёръ)	 
 	магнетизм		магнети'змъ	 
 	магнетит		магнети'тъ (магни'тный желѣзня'къ)	 
 	магнетический		магнети'ческій (относя'щійся къ гипноти'ческому внуше'нію)	 
 	магний		ма'гній	 
 	Магомет		Магоме'тъ	 
 	магометанство		магомета'нство	 
 	Мадейра		Маде'йра	 
 	мадемуазель		мадемуазе'ль (фо'рма вѣ'жливаго упомина'нія и'ли обраще'нія къ незаму'жней же'нщинѣ), не мадмуазе'ль!, не мадмазе'ль!	 
 	мадера		маде'ра (крѣ'пкое вино' изъ бѣ'лыхъ и'ли ро'зовыхъ сорто'въ виногра'да)	 
 	мадия		ма'дія	 
 	мадрепора		мадрепо'ра (родъ ри'фовыхъ кора'лловъ)	 
 	Мадрид		Мадри'дъ	 
 	мадьяр		мадья'ръ	 
 	мае		въ ма'ѣ (мѣ'сяцъ май)	 
 	маёвка		маёвка (собра'ніе рабо'чихъ въ пе'рвые дни ма'я, въ зна'къ проте'ста про'тивъ эксплуата'ціи)	 
 	маета		маета' (муче'ніе, безпоко'йство; утоми'тельныя, доса'дныя хло'поты)	 
 	маетность		ма'етность	 
 	мается		ма'ется, ма'етесь	 
 	мажордом		мажордо'мъ и майордо'мъ	 
 	мазанёт		мазанётъ	 
 	мазанка		ма'занка (ха'та изъ гли'ны, сырцо'ваго кирпича' и'ли де'рева, обма'заннаго гли'ной)	 
 	Мазепа		Мазе'па	 
 	мазнёй		мазнёй	 
 	мазнёт		мазнётъ	 
 	Мазовецкая		Мазове'цкая (губе'рнія)	 
 	мазореты		мазоре'ты (учёные евре'и времёнъ вавило'нскаго плѣ'на, извѣ'стные свои'ми схоласти'ческими рабо'тами)	 
 	май		май, въ ма'ѣ, ма'йскій, пя'таго ма'я	 
 	майолика		маіо'лика (издѣ'лія изъ обожжённой гли'ны, покры'тыя непрозра'чной глазу'рью и рису'нкомъ)	 
 	майонез		майоне'зъ, въ майоне'зѣ	 
 	майор		майо'ръ и маіо'ръ, о майо'рѣ, майо'рство	 
 	майоран		маіора'нъ	 
 	майорат		майора'тъ (феода'льный поря'докъ наслѣ'дованія, при кото'ромъ земе'льное владѣ'ніе перехо'дитъ къ ста'ршему сы'ну и'ли къ ста'ршему въ ро'дѣ)	 
 	майордом		майордо'мъ и мажордо'мъ	 
 	Майоренгоф		Маіоренго'фъ	 
 	Майорка		Майо'рка	 
 	майорша		майо'рша и маіо'рша	 
 	майские		ма'йскіе (м. р.), ма'йскія (ж. р. и ср. р.)	 
 	майский		ма'йскій, ма'йскаго	 
 	майское		ма'йское	 
 	Майя		Ма'йя	 
 	Макарий		Мака'рій, Мака'ръ	 
 	макароны		макаро'ны	 
 	Макарьев		Мака'рьевъ	 
 	макать		мака'ть	 
 	Македония		Македо'нія	 
 	македонский		македо'нскій, македо'нскаго	 
 	Макиавелли		Маккіаве'лли	 
 	Маккавеи		Маккаве'и	 
 	маклер		ма'клеръ (посре'дникъ въ поку'пкѣ и прода'жѣ това'ровъ, цѣ'нныхъ бума'гъ, услу'гъ, страхова'ній)	 
 	макнёт		макнётъ	 
 	Маколей		Маколе'й	 
 	макраме		макрамэ' (плете'ніе въ ви'дѣ узелко'въ изъ то'лстыхъ ни'тей, шпага'та худо'жественныхъ издѣ'лій)	 
 	макрель		макре'ль (ску'мбрія)	 
 	Максенций		Максе'нцій	 
 	Максимиан		Максиміа'нъ	 
 	Максимилиан		Максимиліа'нъ, Максимилья'нъ	 
 	макушечка		маку'шечка	 
 	Маланья		Мала'нья и Мела'нья	 
 	малахит		малахи'тъ (минера'лъ я'рко-зелёнаго цвѣ'та съ чёрными прожи'лками, испо'льзуемый для разли'чныхъ подѣ'локъ, облицо'вки вазъ, коло'ннъ)	 
 	Малахия		Мала'хія	 
 	Малая Вишера		Ма'лая Ви'шера	 
 	малёванный		малёванный	 
 	малевать		малева'ть (писа'ть, рисова'ть кра'сками пло'хо, неумѣ'ло и'ли безвку'сно)	 
 	малейшего		малѣ'йшаго	 
 	малейшее		малѣ'йшее	 
