на 	набалдашник		набалда'чникъ (наса'дка, ру'чка на ве'рхнемъ концѣ' тро'сти, па'лки)	^
 	набег		набѣ'гъ, при набѣ'гѣ	 
 	набегать		набѣга'ть (не набига'ть!)	 
 	набегаться		набѣ'гаться	 
 	на бегу		на бѣгу'	 
 	набедёрный		набедёрный	 
 	набедокурить		набѣдоку'рить	 
 	набедренник		набе'дренникъ (принадле'жность богослуже'бнаго облаче'нія правосла'внаго свяще'нника)	 
 	набежать		набѣжа'ть (не набижа'ть!)	 
 	набейте		набе'йте	 
 	набекрень		набекре'нь и на бекре'нь	 
 	набелённый		набѣлённый	 
 	набелить		набѣли'ть	 
 	набело		на'бѣло	 
 	набеситься		набѣси'ться	 
 	набережная		на'бережная	 
 	наберём		наберёмъ	 
 	наберёшься		наберёшься	 
 	наберу		наберу'	 
 	набиваем		набива'емъ	 
 	набиваемся		набива'емся	 
 	набивает		набива'етъ	 
 	набивается		набива'ется	 
 	набиваешь		набива'ешь	 
 	набиваешься		набива'ешься	 
 	набираем		набира'емъ	 
 	набирает		набира'етъ	 
 	набираешь		набира'ешь	 
 	набирать		набира'ть	 
 	наблёвано		наблёвано	 
 	наблюдатель		наблюда'тель	 
 	наблюдать		наблюда'ть, наблюде'ніе	 
 	наблюдение		наблюде'ніе	 
 	наблюдённый		наблюдённый	 
 	наблюёт		наблюётъ	 
 	набоечка		набо'ечка	 
 	набожен		на'боженъ	 
 	набожные		на'божные (м. р.), на'божныя (ж. р. и ср. р.)	 
 	набок		на' бокъ	 
 	наболевший		наболѣ'вшій	 
 	наболело		наболѣ'ло	 
 	набредёшь		набредёшь	 
 	набрёл		набрёлъ	 
 	набрести		набрести', набре'сть	 
 	наброшенный		набро'шенный	 
 	набрюшничек		набрю'шничекъ	 
 	набурённый		набурённый	 
 	набьём		набьёмъ	 
 	набьёмся		набьёмся	 
 	набьёшься		набьёшься	 
 	навага		нава'га (морска'я промысло'вая ры'ба семе'йства треско'выхъ)	 
 	наваждение		наважде'ніе	 
 	наваленный		нава'ленный	 
 	наваренный		нава'ренный	 
 	Наве		На'ве	 
 	навевать		навѣва'ть	 
 	наведаться		навѣ'даться, навѣ'дываться	 
 	наведён		наведёнъ	 
 	наведение		наведе'ніе (отъ навести')	 
 	наведённый		наведённый	 
 	наведёшь		наведёшь, наведёмъ, наведётъ, наведу'тъ	 
 	наведший		наве'дшій	 
 	наведываться		навѣ'дываться (не навѣ'доваться!)	 
 	навезённый		навезённый	 
 	навезёшь		навезёшь, навезёмъ, навезётъ, навезу'тъ	 
 	навёзший		навёзшій	 
 	навек		навѣ'къ, навѣ'ки и на-вѣ'ки	 
 	навеки		навѣ'ки и на-вѣ'ки	 
 	навернёмся		навернёмся	 
 	наверно		навѣ'рно	 
 	наверное		навѣ'рное	 
 	навёрнут		навёрнутъ	 
 	навернуть		наверну'ть	 
 	наверняка		навѣрняка'	 
 	наверстать		наверста'ть	 
 	навёрстывание		навёрстываніе	 
 	навёртка		навёртка	 
 	навёртывание		навёртываніе	 
 	наверх		наве'рхъ	 
 	наверху		наверху'	 
 	навес		навѣ'съ	 
 	навеселе		навеселѣ'	 
 	навесить		навѣ'сить	 
 	навести		навести'	 
 	навестить		навѣсти'ть	 
 	навесу		навѣсу'	 
 	навет		навѣ'тъ (ло'жное обвине'ніе, клевета')	 
 	наветом		навѣ'томъ	 
 	наветренный		навѣ'тренный (обращённый туда', отку'да ду'етъ вѣ'теръ)	 
 	наветчик		навѣ'тчикъ	 
 	наветчица		навѣ'тчица	 
