па 	Павел		Па'велъ	^
 	Павзаний		Павза'ній	 
 	павиан		павіа'нъ	 
 	павильон		павильо'нъ и павиліо'нъ	 
 	Павия		Па'вія	 
 	Павленков		Павле'нковъ	 
 	павшие		па'вшіе (м. р.), па'вшія (ж. р. и ср. р.)	 
 	павший		па'вшій, па'вшаго	 
 	пагода		па'года, въ па'годѣ, но пого'да :)	 
 	падеж		паде'жъ, въ падежѣ', падежо'мъ, но падёжъ (скота')	 
 	падёж		падёжъ (ги'бель скота'), но паде'жъ	 
 	Па-де-Кале		Па-де-Кале'	 
 	падём		падёмъ	 
 	падение		паде'ніе	 
 	падением		паде'ніемъ	 
 	Падерборн		Падербо'рнъ	 
 	падём		падёмъ	 
 	падёт		падётъ	 
 	падёте		падёте	 
 	падёшь		падёшь	 
 	падкие		па'дкіе (м. р.), па'дкія (ж. р. и ср. р.)	 
 	падкий		па'дкій, па'дкаго	 
 	падчерица		па'дчерица (неродна'я дочь одному' изъ супру'говъ)	 
 	падшие		па'дшіе (м. р.), па'дшія (ж. р. и ср. р.)	 
 	падший		па'дшій, па'дшаго	 
 	паёв		паёвъ	 
 	паевой		паево'й (долево'й)	 
 	паек		па'екъ (отъ па'йка, пая'ть)	 
 	паёк		паёкъ (продово'льствіе, выдава'емое по опредѣлённой но'рмѣ на опредѣлённый сро'къ)	 
 	пажеский		па'жескій ко'рпусъ (привилегиро'ванное дворя'нское вое'нно-уче'бное заведе'ніе)	 
 	Паисий		Паи'сій	 
 	пакет		паке'тъ, въ паке'тѣ	 
 	пакетбот		пакетбо'тъ (морско'е почто'во-пасcажи'рское су'дно), на пакетбо'тѣ	 
 	паки		па'ки (опя'ть, сно'ва) — уcтap.	 
 	Пакувий		Паку'вій	 
 	паладин		палади'нъ (хра'брый, до'блестный ры'царь; безкоры'стный, благоро'дный приве'рженецъ)	 
 	палата		пала'та	 
 	Палацкий		Пала'цкій	 
 	палач		пала'чъ	 
 	палаш		пала'шъ (холо'дное ору'жіе, подо'бное са'блѣ, но съ прямы'мъ и широ'кимъ клинко'мъ)	 
 	пале		пале' (дворе'цъ)	 
 	палевый		па'левый	 
 	Пален		Па'ленъ	 
 	палёный		палёный, палёнаго	 
 	палеография		палеогра'фія (нау'ка о па'мятникахъ дре'вней пи'сьменности)	 
 	палеозой		палеозо'й	 
 	палеолит		палеоли'тъ	 
 	Палеологи		Палеоло'ги	 
 	палеонтология		палеонтоло'гія (нау'ка о вы'мершихъ живо'тныхъ и расте'ніяхъ)	 
 	Палермо		Пале'рмо	 
 	Пале-Рояль		Пале'-Роя'ль	 
 	Палеса		Пале'са	 
 	Палестина		Палести'на, въ Палести'нѣ	 
 	палестинец		палести'нецъ	 
 	палестины		палести'ны (въ на'шихъ палести'нахъ — въ на'шихъ мѣста'хъ, на ро'динѣ)	 
 	палестра		пале'стра (дре'вне-гре'ческая шко'ла для упражне'нія гимна'стикой)	 
 	Палестрина		Палестри'на	 
 	палец		па'лецъ, на па'льцѣ	 
 	Палей		Палѣ'й	 
 	Палех		Па'лехъ	 
 	палея		палея' (назва'ніе па'мятниковъ дре'вне-ру'сской пи'сьменности)	 
 	палимпсест		палимпсе'стъ (дре'вняя ру'копись на перга'ментѣ, напи'санная по смы'тому и'ли соскоблённому те'ксту)	 
 	палиндром		палиндро'мъ (сло'во и'ли словосочета'ніе, одина'ково чита'ющееся съ нача'ла и съ конца')	 
 	палисадник		палиса'дникъ	 
 	палитра		пали'тра	 
 	палладий		палла'дій	 
 	паллиатив		палліати'въ	 
 	палуба		па'луба, на па'лубѣ	 
 	пальнёшь		пальнёшь	 
 	пальтецо		пальтецо'	 
 	пальто		пальто'	 
 	пальцевой		пальцево'й	 
 	пальцем		па'льцемъ	 
 	Памфилия		Памфи'лія	 
 	памфлет		памфле'тъ (злободне'вное публицисти'ческое произведе'ніе сатири'ческаго хара'ктера)	 
 	памперс		па'мперсъ	 
 	памятник		па'мятникъ, о па'мятникѣ	 
 	панагия		панагі'я (небольша'я, укра'шенная драгоцѣ'нными камня'ми кру'глая нагру'дная ико'на съ изображе'ніемъ Богома'тери)	 
 	панацея		панаце'я (сре'дство, кото'рое я'кобы мо'жетъ помо'чь во всѣ'хъ слу'чаяхъ жи'зни)	 
 	пандемия		пандемі'я (эпиде'мія, охва'тывающая населе'ніе цѣ'лой о'бласти, значи'тельной ча'сти страны' и'ли ря'да стра'нъ)	 
 	панегирик		панеги'рикъ и паниги'рикъ (хвале'бная рѣ'чь; восхвале'ніе; похва'льное сло'во)	 
 	панель		пане'ль, пане'лей, пане'льный	 
