ра 	Рабле		Рабле'	^
 	рабовладелец		рабовладѣ'лецъ	 
 	рабовладельческий		рабовладѣ'льческій (стро'й)	 
 	раболепие		раболѣ'піе	 
 	работа		рабо'та, на рабо'тѣ	 
 	работает		рабо'таетъ, рабо'таемъ, рабо'таешь	 
 	работаете		рабо'таете	 
 	работе		въ рабо'тѣ	 
 	работёнка		работёнка	 
 	работник		рабо'тникъ, о рабо'тникѣ	 
 	работница		рабо'тница	 
 	работничек		рабо'тничекъ	 
 	рабочего		рабо'чаго	 
 	рабочее		рабо'чее	 
 	рабочие		рабо'чіе (м. р. — часы'), рабо'чія (ж. р. и ср. р. — недѣ'ли)	 
 	рабочий		рабо'чій, рабо'чаго, рабо'чихъ, рабо'чіе (cущ. мн. ч.)	 
 	Рабютен		Рабюте'нъ	 
 	раввин		равви'нъ (въ Россі'и евре'йскій свяще'нникъ)	 
 	равелин		равели'нъ, демилю'пъ (въ фортифика'ціи укрѣпле'ніе пе'редъ середи'ною фро'нта за рво'мъ гла'внаго ва'ла)	 
 	равендук		равенду'къ (пе'ньковая паруси'на)	 
 	Равенна		Раве'нна	 
 	равенство		ра'венство	 
 	равнение		равне'ніе	 
 	равновероятно		равновѣроя'тно	 
 	равновесие		равновѣ'сіе	 
 	равнодействующая		равнодѣ'йствующая	 
 	равноденствие		равноде'нствіе	 
 	равнодушен		равноду'шенъ	 
 	равноимённый		равноимённый	 
 	равномерно		равномѣ'рно	 
 	равноудалённый		равноудалённый	 
 	равноценное		равноцѣ'нное	 
 	равнять		равня'ть, равня'етъ	 
 	радеет		радѣ'етъ, радѣ'ете, радѣ'емъ, радѣ'ешь, радѣ'ютъ	 
 	радей		радѣ'й, радѣ'йте	 
 	радел		радѣ'лъ, радѣ'ла, радѣ'ли	 
 	радение		радѣ'ніе, радѣ'ніемъ, въ радѣ'ніи	 
 	радетель		радѣ'тель, радѣ'тельница, радѣ'тельный	 
 	радетельно		радѣ'тельно, радѣ'тельное	 
 	радетельные		радѣ'тельные (м. р.), радѣ'тельныя (ж. р. и ср. р.)	 
 	радетельный		радѣ'тельный, радѣ'тельнаго	 
 	радетельские		радѣ'тельскіе (м. р.), радѣ'тельскія (ж. р. и ср. р.)	 
 	радетельский		радѣ'тельскій, радѣ'тельскаго	 
