са 	Сабанеев		Сабанѣ'евъ	^
 	сабеизм		сабеи'змъ (почита'ніе звѣ'здъ, рели'гія дре'вняго араві'йскаго пле'мени сабе'евъ)	 
 	сабельный		са'бельный	 
 	саван		са'ванъ (мѣшкообра'зное одѣя'ніе, въ кото'ромъ пре'жде хорони'ли уме'ршихъ)	 
 	Саваоф		Савао'ѳъ	 
 	Савва		Са'вва	 
 	Савватий		Савва'тій	 
 	Савел		Саве'лъ	 
 	Савелий		Саве'лій и Саве'рій	 
 	Саверий		Саве'рій	 
 	саврасый		савра'сый	 
 	саданёт		саданётъ	 
 	саддукеи		саддуке'и (дре'вне-евре'йская религіо'зная се'кта)	 
 	садитесь		сади'тесь	 
 	саечник		са'ечникъ	 
 	саепёк		саепёкъ	 
 	саженец		са'женецъ	 
 	сажёнки		сажёнки	 
 	саженный		са'женный (о'вощъ), саже'нный (отъ саже'нь)	 
 	сажённый		сажённый и саже'нный (отъ саже'нь)	 
 	сажень		са'жень и саже'нь, род. п. мн. ч. саже'ней и са'женъ	 
 	сайт		са'йтъ, на са'йтѣ	 
 	саквояж		саквоя'жъ	 
 	сакелларий		сакелларій (казначе'й въ дре'вне-христіа'нской це'ркви; осо'бый санъ въ собо'рномъ и придво'рномъ духове'нствѣ)	 
 	саккос		са'ккосъ (ве'рхнее архіере'йское облаче'ніе съ рукава'ми, въ ро'дѣ стихаря')	 
 	сакраменталии		сакрамента'ліи (въ католи'ческой це'ркви свяще'нные обря'ды, не принадлежа'щія къ семи' та'инствамъ)	 
 	сакраментальный		сакрамента'льный (имѣ'ющій отноше'ніе къ церко'внымъ обря'дамъ и та'инствамъ, свяще'нный)	 
 	Сакраменто		Сакраме'нто	 
 	Саксен-Альтенбург		Са'ксенъ-Альтенбу'ргъ	 
 	Саксен-Веймар-Эйзенах		Са'ксенъ-Ве'ймаръ-Эйзена'хъ	 
 	Саксен-Мейнинген		Са'ксенъ-Ме'йнингенъ	 
 	Саксония		Саксо'нія	 
 	Сакия-Муни		Са'кія-Му'ни	 
 	салазки		сала'зки (ручны'я са'ни)	 
 	салат		сала'тъ	 
 	Сале		Сале'	 
 	Салем		Са'лемъ	 
 	саленг		са'ленгъ	 
 	салеп		са'лепъ (сли'зистое вещество', приготовля'емое изъ клу'бней ятры'шника)	 
 	Салерно		Сале'рно	 
 	Салиас-де-Турнемир		Са'ліасъ-де-Турнеми'ръ	 
 	салии		са'ліи (жрецы' Ма'рса въ дре'внемъ Ри'мѣ)	 
 	салициловый		салици'ловый	 
 	Саллюстий		Саллю'стій	 
 	сало		са'ло, на са'лѣ	 
 	салон		сало'нъ, въ сало'нѣ	 
 	салоп		сало'пъ, въ сало'пѣ	 
 	салфетка		салфе'тка, на салфе'ткѣ	 
 	Сальери		Салье'ри	 
 	сальмонеллёз		сальмонеллёзъ	 
 	сальсапарель		сальсапаре'ль, сарсапаре'ль (вью'щійся куста'рникъ семе'йства ла'ндышевыхъ)	 
 	сальтарелло		сальтаре'лло (ри'мскій націона'льный та'нецъ)	 
 	сальто-мортале		сальтоморта'ле, са'льто-морта'ле (опа'сный, угрожа'ющій жи'зни прыжо'къ)	 
 	саманные		сама'нные (м. р.), сама'нныя (ж. р. и ср. р.), изъ необожжённой гли'ны съ при'мѣсью соло'мы и наво'за	 
 	самаритяне		самаритя'не, самаря'не	 
 	Самария		Сама'рія	 
 	сам-друг		самъ-дру'гъ (вдвое'мъ)	 
 	Самей		Саме'й	 
 	самец		саме'цъ	 
 	самиель		саміе'ль (у евре'евъ глава' а'нгеловъ тьмы')	 
 	самовар		самова'ръ	 
 	самовластие		самовла'стіе	 
 	самовлюблённый		самовлюблённый	 
 	самовозгорание		самовозгора'ніе	 
 	самоволие		самово'ліе	 
 	самого		самого' (отъ самъ — самого' Ива'на Ива'новича), но са'маго (отъ са'мый — съ са'маго нача'ла)	 
 	самогон		самого'нъ, въ самого'нѣ	 
 	самогонного		самого'ннаго	 
 	самогоноварение		самогоноваре'ніе	 
 	самогонокурение		самогонокуре'ніе	 
 	самодвижущийся		самодви'жущійся (экипа'жъ), самодви'жущагося	 
 	самодельный		самодѣ'льный	 
 	самодержавие		самодержа'віе (монархи'ческая неограни'ченная верхо'вная вла'сть Импера'тора Россі'йскаго)	 
 	самодержец		самоде'ржецъ	 
 	самодеятельность		самодѣ'ятельность	 
 	самоеды		самоѣ'ды (кочево'й наро'дъ ура'ло-алта'йскаго пле'мени на сѣ'верѣ Россі'и)	 
 	самое		са'мое	 
 	самое то		са'мое-то	 
 	самозванец		самозва'нецъ	 
 	самозваный		самозва'ный	 
 	самокрещенцы		самокреще'нцы (раско'льники то'лка безпопо'вцевъ, са'ми кре'стятъ себя')	 
 	самокрутка		самокру'тка (самово'льный бракъ безъ согла'сія роди'телей, а ча'сто и безъ церко'внаго вѣнча'нія, у раско'льниковъ, а иногда' и у правосла'вныхъ)	 
 	самолёт		самолётъ (паро'мъ самодви'гающійся подъ напо'ромъ воды'; тка'цкій стано'къ, въ кото'ромъ челно'къ дви'жется осо'бымъ приспособле'ніемъ, а не руко'й)	 
 	самолюбие		самолю'біе	 
 	самомнение		самомнѣ'ніе	 
 	самонадеянность		самонадѣ'янность	 
 	самонадеянный		самонадѣ'янный	 
 	самонапряжённый		самонапряжённый	 
 	самоопылённый		самоопылённый	 
 	самоотверженный		самоотве'рженный	 
 	самоотречение		самоотрече'ніе	 
 	самоотрешённый		самоотрѣшённый	 
 	самоотчёт		самоотчётъ	 
 	самооценка		самооцѣ'нка	 
 	самоподъёмный		самоподъёмный	 
 	самопровозглашённый		самопровозглашённый	 
 	саморасчёт		саморасчётъ	 
 	самосёл		самосёлъ	 
 	самосовершенствование		самосоверше'нствованіе	 
 	самосожжение		самосожже'ніе	 
 	самосопряжённый		самосопряжённый	 
 	самостоятельно		самостоя'тельно	 
 	самостоятельного		самостоя'тельнаго	 
 	самостоятельное		самостоя'тельное	 
 	самостоятельность		самостоя'тельность	 
 	самостоятельные		самостоя'тельные (м. р.), самостоя'тельныя (ж. р. и ср. р.)	 
 	самостоятельный		самостоя'тельный, самостоя'тельнаго	 
 	самострел		самострѣ'лъ (лу'къ съ ло'жемъ для стрѣлы')	 
 	самость		са'мость (поставле'ніе на пе'рвый пла'нъ самого' себя', эгои'змъ)	 
 	самотёк		самотёкъ (мёдъ, вытека'ющій самъ собо'й изъ вы'нутыхъ со'товъ), на самотёкѣ	 
 	самотёчный		самотёчный	 
 	самоубийца		самоубі'йца	 
 	самоуверенность		самоувѣ'ренность	 
 	самоуглублённый		самоуглублённый	 
 	самоудовлетворённый		самоудовлетворённый	 
 	Самофракия		Самоѳра'кія	 
 	самочувствие		самочу'вствіе	 
 	самоцвет		самоцвѣ'тъ	 
 	самоценное		самоцѣ'нное	 
 	сам по себе		са'мъ по себѣ'	 
 	сам-сём		самъ-сёмъ (всемеро'мъ)	 
 	Самсон		Самсо'нъ и Сампсо'нъ	 
 	саму		самоё (вин. ж. р. мeст. сама' — она' вини'ла самоё себя')	 
 	сам-шёст		самъ-шо'стъ и самъ-шёстъ (вшестеро'мъ)	 
 	самые		са'мые (м. р.), са'мыя (ж. р. и ср. р.)	 
 	самый		са'мый, са'мое, са'маго (но самого' отъ самъ)	 
 	санаторий		санато'рій	 
 	санаторные		санато'рные (м. р.), санато'рныя (ж. р. и ср. р.)	 
 	санаторный		санато'рный, санато'рнаго	 
 	санаторное		санато'рное	 
 	Санкт-Галлен		Санктъ-Га'лленъ	 
 	Санкт-Петербург		Санктъ-Петербу'ргъ, въ Санктъ-Петербу'ргѣ; также Санктпетербургъ, С.-Петербургъ, СПБ.	 
 	санкт-петербургский		са'нктъ-петербу'ргскій	 
 	санктпетербурженка		санктпетербу'рженка	 
 	санктпетербуржец		санктпетербу'ржецъ	 
 	санкционированного		санкціони'рованнаго	 
 	санкционированное		санкціони'рованное	 
 	санкционированные		санкціони'рованные (м. р.), санкціони'рованныя (ж. р. и ср. р.)	 
 	санкционировать		санкціони'ровать	 
 	санкция		са'нкція, са'нкціи	 
 	Сантандер		Санта'ндеръ	 
 	Сантер		Са'нтеръ	 
 	сантименты		сантиме'нты (чувстви'тельность, аффекта'ція, слезли'вость)	 
 	сантиметр		сантиме'тръ	 
 	Сапега		Сапѣ'га	 
 	сапёр		сапёръ	 
 	сапоги-скороходы		сапоги'-скорохо'ды	 
 	сапожище		сапожи'ще	 
 	сапожок		сапожо'къ	 
 	сапфир		сапфи'ръ и сафи'ръ (прозра'чная разнови'дность кору'нда, чи'стаго си'няго, василько'ваго, цвѣ'та; по цѣ'нности по'слѣ алма'за и руби'на занима'етъ тре'тье мѣ'сто)	 
 	Сараево		Сара'ево	 
 	сараец		сара'ецъ (отъ сара'й)	 
 	сараище		сара'ище (отъ сара'й)	 
 	сарай		сара'й, въ сара'ѣ, сара'евъ, за сара'емъ	 
 	Сарасате		Сараса'те	 
 	Саратов		Сара'товъ, въ Сара'товѣ	 
 	сарафан		сарафа'нъ	 
 	сарацин		сарацы'нъ	 
 	сардель		сарде'ль (сарди'на)	 
 	сарделька		сарде'лька (анчо'усъ)	 
 	Сардиния		Сарди'нія	 
 	сардонический		сардони'ческій (безпричи'нный истери'ческій смѣ'хъ, су'дорожно искажа'ющій лицо'; та'кже дѣ'ланный, иску'сственный смѣ'хъ)	 
 	Сарепта		Саре'пта	 
 	сарказм		сарка'змъ (ѣ'дкая насмѣ'шка)	 
 	саркастический		саркасти'ческій (язви'тельный, насмѣ'шливый)	 
 	саркофаг		саркофа'гъ (ка'менныя гробни'цы у дре'внихъ египтя'нъ, гре'ковъ и ри'млянъ)	 
 	Сарматия		Сарма'тія	 
 	Сарпедон		Сарпедо'нъ	 
 	Саскачеван		Саскачева'нъ	 
 	сатана		сатана', (не сотона' :)	 
 	сатанёнок		сатанёнокъ	 
 	сателлит		сателли'тъ	 
 	сатинет		сатине'тъ (тка'нь съ ме'лкими поло'сками, похо'жая на атла'съ)	 
 	сатинирование		сатини'рованіе (прида'ніе бле'ска и ло'ска бума'гѣ)	 
 	сатирический		сатири'ческій	 
 	сатириаз		сатиріа'зъ, сатиріа'зисъ (душе'вная болѣ'знь мужчи'нъ, выража'ющаяся въ болѣ'зненномъ усиле'ніи полово'го чу'вства; у же'нщинъ — нимфома'нія)	 
 	сатисфакция		сатисфа'кція (удовлетворе'ніе)	 
 	сатрап		сатра'пъ (тира'нъ, де'спотъ)	 
 	сатурация		сатура'ція (насыще'ніе)	 
