ша 	ша		Ш — ша' — два'дцать пя'тая бу'ква ру'сской а'збуки	^
 	шабаш		ша'башъ (сбо'рище), шаба'шъ (хва'титъ)	 
 	шабёр		шабёръ	 
 	шаблон		шабло'нъ	 
 	шабрёнка		шабрёнка	 
 	шагаешь		шага'ешь, шага'етъ, шага'емъ, шага'ете	 
 	шагнёшь		шагнёшь	 
 	шагомер		шагомѣ'ръ	 
 	шагреневый		шагре'невый	 
 	шагрень		шагре'нь (пло'тная дублёная ко'жа съ шерохова'той пове'рхностью, выдѣ'лывается изъ шкуръ лошаде'й, осло'въ, му'ловъ)	 
 	шаечка		ша'ечка	 
 	шажок		шажо'къ	 
 	шакалёнок		шакалёнокъ	 
 	шалаш		шала'шъ, въ шалашѣ'	 
 	шале		шале' (швейца'рскій се'льскій до'микъ)	 
 	шалёвка		шалёвка	 
 	шалеть		шалѣ'ть	 
 	шалить		шали'ть	 
 	шалопут		шалопу'тъ и шелопу'тъ	 
 	шалун		шалу'нъ	 
 	шалфей		шалфе'й	 
 	шальное		шально'е	 
 	шальной		шально'й, шально'го	 
 	шальные		шальны'е (м. р.), шальны'я (ж. р. и ср. р.)	 
 	Шамбери		Шамбери'	 
 	шампанское		шампа'нское	 
 	шампиньон		шампиньо'нъ и шампиніо'нъ	 
 	Шампольон		Шамполліо'нъ	 
 	Шамфлери		Шамфлери'	 
 	Шангарнье		Шангарнье'	 
 	шанец		ша'нецъ, ша'нцъ (земляно'й око'пъ и вообще' полевы'я укрѣпле'нія)	 
 	шансонетка		шансоне'тка (пѣ'сенка лёгкаго содержа'нія)	 
 	шанцевый		ша'нцевый инструме'нтъ (желѣ'зная лопа'та, топо'ръ, кирка' и моты'га; но'сится пѣхо'тными солда'тами на слу'чай произво'дства нѣ'которыхъ спѣ'шныхъ земляны'хъ рабо'тъ)	 
 	шапка		ша'пка, въ ша'пкѣ	 
 	шапка-невидимка		ша'пка-невиди'мка	 
 	шапочное		ша'почное знако'мство (знако'мство, при кото'ромъ то'лько раскла'ниваются при встрѣ'чѣ)	 
 	шапочный		ша'почный разбо'ръ (попа'сть къ ша'почному разбо'ру — опозда'ть)	 
 	шар		ша'ръ, на ша'рѣ	 
 	шарабан		шараба'нъ	 
 	шарада		шара'да	 
 	Шарден		Шарде'нъ	 
 	шариат		шаріа'тъ	 
 	Шарле		Шарле'	 
 	Шарлемань		Шарлема'нь	 
 	Шарлеруа		Шарлеруа'	 
 	Шарлоттенбург		Шарлоттенбу'ргъ	 
 	шарльер		шарлье'ръ	 
 	шарнир		шарни'ръ, шалне'ръ	 
 	шаровары		шарова'ры	 
 	шаромыга		шаромы'га и шеромы'га	 
 	шаромыжка		шаромы'жка и шеромы'жка	 
 	шаромыжник		шаромы'жникъ и шеромы'жникъ (стремя'щійся получи'ть что'-либо да'ромъ, на шаромы'жку)	 
 	Шарпантье		Шарпантье'	 
 	шартрез		шартрёзъ (ликёръ)	 
 	шарф		ша'рфъ	 
 	шассе		шассе' (въ та'нцахъ опредѣлённое число' шаго'въ, дѣ'лаемое вперёдъ и'ли наза'дъ)	 
 	шатает		шата'етъ	 
 	шатается		шата'ется	 
 	шателен		шателе'нъ	 
 	шатен		шате'нъ (человѣ'къ съ волоса'ми кашта'новаго цвѣ'та)	 
 	шатёр		шатёръ	 
 	шатёрный		шатёрный	 
 	шаткий		ша'ткій, ша'ткаго	 
 	шатнёшься		шатнёшься	 
 	Шатобриан		Шатобріа'нъ	 
 	Шатриан		Шатріа'нъ	 
 	Шафгаузен		Шафга'узенъ	 
 	шафер		ша'феръ (дру'жка на сва'дьбѣ, де'ржитъ вѣне'цъ надъ голово'й жениха' и'ли невѣ'сты во вре'мя обря'да вѣнча'нія)	 
 	шафран		шафра'нъ	 
 	шахер		ша'херъ	 
 	шахер-махер		ша'херъ-ма'херъ	 
 	шахматы		ша'хматы	 
 	шахтёр		шахтёръ	 
 	шахтоподъёмник		шахтоподъёмникъ	 
 	шашень		ша'шень (древото'чецъ)	 
 	шашечный		ша'шечный	 
 	Шашкевич		Шашке'вичъ	 
 	шашни		ша'шни, ша'шней (не ша'шенъ)	 
шв 	Швабия		Шва'бія	^
 	Шванталер		Шванта'леръ	 
 	Шварце		Шва'рце	 
 	Шварценберг		Шварценбе'ргъ	 
 	Швеглер		Шве'глеръ	 
 	шведский		шве'дскій	 
 	швеёй		швеёй (швея')	 
 	швейка		шве'йка, шве'екъ	 
 	швейная		шве'йная маши'на	 
 	швейник		шве'йникъ	 
 	швейница		шве'йница (швея'), шве'йницей	 
 	швейного		шве'йнаго	 
 	швейное		шве'йное	 
 	Швейнфурт		Швейнфу'ртъ	 
 	швейные		шве'йные (м. р.), шве'йныя (ж. р. и ср. р.)	 
 	швейный		шве'йный, шве'йнаго	 
 	швейцар		швейца'ръ (сто'рожъ при пара'дномъ подъѣ'здѣ до'ма)	 
 	Швейцария		Швейца'рія	 
 	швейцарский		швейца'рскій (къ швейца'ръ и къ Швейца'рія)	 
 	Швейцер		Шве'йцеръ	 
 	Швенингер		Шве'нингеръ	 
 	Шверин		Шве'ринъ	 
 	швермер		шве'рмеръ	 
 	швец		шве'цъ (стра'нствующій портно'й, спеціализи'ровавшійся на шитьѣ' тулу'повъ, полушу'бковъ и наго'льныхъ шубъ)	 
 	Швеция		Шве'ція	 
 	швея		швея' (шве'йница), швеёй	 
 	Швондер		Шво'ндеръ	 
 	шворневой		шворнево'й, шкво'рневый	 
 	швырнёт		швырнётъ	 
ше 	Шебуев		Шебу'евъ	^
 	шевалье		шевалье'	 
 	шевеление		шевеле'ніе	 
 	шевелённый		шевелённый	 
 	шевелиться		шевели'ться, шевеле'ніе	 
 	шевельнёшься		шевельнёшься	 
 	шевелю		шевелю' (отъ шевели'ть)	 
 	шевелюра		шевелю'ра (причёска)	 
 	шевиот		шевіо'тъ	 
