та 	Таафе		Таа'фе	^
 	табак		таба'къ, въ табакѣ'	 
 	табакерка		табаке'рка (я'щичекъ изъ черепа'хи, ко'сти, мета'лла и др. для хране'нія ню'хательнаго табаку')	 
 	табачный		таба'чный, таба'чнаго	 
 	табачок		табачо'къ	 
 	табель		та'бель (ж. р.), та'бель о ра'нгахъ, въ та'бели о ра'нгахъ	 
 	табельный		та'бельный (табли'чный)	 
 	табернакль		таберна'кль	 
 	табес		та'бесъ	 
 	табетик		табе'тикъ	 
 	таблет		табле'тъ	 
 	таблетка		табле'тка	 
 	таблица		табли'ца, въ табли'цѣ; табли'чка, въ табли'чкѣ	 
 	табор		та'боръ, въ та'борѣ	 
 	табун		табу'нъ, въ табунѣ'	 
 	табурет		табуре'тъ, табуре'тецъ, табуре'тикъ	 
 	табуретка		табуре'тка	 
 	таверна		таве'рна (въ дре'внемъ Ри'мѣ ла'вка на фо'румѣ и'ли мастерска'я; ста'нція на вое'нныхъ ри'мскихъ доро'гахъ; харче'вня, кабачёкъ)	 
 	Тавифа		Тави'ѳа	 
 	таврённый		таврённый	 
 	Таврический		Таври'ческій	 
 	Таврия		Та'врія	 
 	тавтология		тавтоло'гія	 
 	таган		тага'нъ	 
 	Таганцев		Тага'нцевъ	 
 	Тадема		Таде'ма	 
 	таёжный		таёжный	 
 	тает		та'етъ, та'ете, та'емъ, та'ешь	 
 	та же		та же	 
 	таинственность		таи'нственность	 
 	Таисия		Таи'сія	 
 	тайга		тайга', въ тайгѣ', таёжный	 
 	таймень		тайме'нь	 
 	тайна		та'йна, въ та'йнѣ	 
 	тайное		та'йное, та'йнаго	 
 	тайные		та'йные (м. р.), та'йныя (ж. р. и ср. р.)	 
 	так		такъ, такъ-та'къ, такъ-и-та'къ, такъ-и-ся'къ, такъ-таки', такъ-называ'емый, такъ-сказа'ть, такъ себѣ'	 
 	такелаж		такела'жъ	 
 	такель		та'кель	 
 	также		та'кже (сoю'зъ) — онъ та'кже пригото'вилъ уро'къ; почти'-та'кже	 
 	так же		та'къ-же и та'къ же (наpѣч.) — онъ та'къ же пригото'вилъ уро'къ, какъ и ты	 
 	таки		таки' (тѣмъ не ме'нѣе, всё же, одна'ко), опя'ть-таки', всё-таки', такъ-таки', онъ таки' пріѣ'детъ	 
 	такие		такі'е (м. р.), такі'я (ж. р. и ср. р.), тако'й, тако'го, таки'хъ, таку'ю	 
 	таким образом		таки'мъ-о'бразомъ	 
 	так называемый		такъ-называ'емый	 
 	тако		та'ко (цepк. такъ), та'ко-же и та'ко же	 
 	таковое		таково'е, таково'й, таково'го	 
 	таковые		таковы'е (м. р.), таковы'я (ж. р. и ср. р.)	 
 	такого		тако'го	 
 	такое		тако'е, тако'е-же, тако'го	 
 	такой же		тако'й-же	 
 	такой-сякой		тако'й-сяко'й, тако'го-сяко'го	 
 	такой-то		тако'й-то	 
 	таксатер		такса'теръ (оцѣ'нщикъ; лѣсно'й такса'теръ — те'хникъ, занима'ющійся устро'йствомъ и оцѣ'нкою лѣсо'въ)	 
 	таксация		такса'ція (оцѣ'нка земе'ль и лѣсо'въ; лѣсна'я такса'ція — уче'ніе объ опредѣле'ніи объёма дере'вьевъ, запа'са и приро'ста насажде'ній)	 
 	так себе		такъ себѣ'	 
 	так сказать		такъ-сказа'ть	 
 	так-то		та'къ-то	 
 	тактомер		тактомѣ'ръ (метроно'мъ)	 
 	талан		тала'нъ (сча'стіе), тала'нъ-судьба'	 
 	Таландье		Таландье'	 
 	талант		тала'нтъ (мѣ'ра вѣ'са; дарова'ніе)	 
 	Таласий		Тала'сій	 
 	Талейран		Талейра'нъ	 
 	талер		та'леръ (сере'бряная моне'та въ Пру'ссіи и Герма'ніи)	 
 	талес		та'лесъ	 
 	Талиенван		Таліенва'нъ	 
 	талия		та'лія и та'лья	 
 	Талия		Та'лія	 
 	таллий		та'ллій	 
 	талмуд		талму'дъ	 
 	таломёрзлый		таломёрзлый	 
 	тальвег		та'львегъ	 
 	Тальен		Талье'нъ	 
 	Тальсен		Та'льсенъ	 
 	Тамерлан		Тамерла'нъ	 
 	Таммерфорс		Таммерфо'рсъ	 
 	таможенный		тамо'женный	 
 	тамошней		та'мошней	 
 	тамплиеры		тампліе'ры (духо'вный ры'царскій о'рденъ), тампліе'ръ	 
 	Тангейзер		Танге'йзеръ	 
 	тангенс		та'нгенсъ	 
 	тандем		танде'мъ (двухъ- и многомѣ'стный велосипе'дъ)	 
 	танец		та'нецъ, въ та'нцѣ, танцова'ть, та'нцевъ	 
 	Танжер		Танже'ръ	 
 	Танкред		Танкре'дъ	 
 	Таннер		Та'ннеръ	 
 	танце		въ та'нцѣ	 
 	танцев		та'нцевъ (учи'тель та'нцевъ), но танцова'ть	 
 	танцевальный		танцова'льный	 
 	танцевать		танцова'ть, въ та'нцѣ, та'нцевъ	 
 	танцкласс		танцклассъ (учрежде'ніе, обуча'ющее та'нцамъ, а та'кже увесели'тельное заведе'ніе съ публи'чными та'нцами)	 
 	танцмейстер		танцме'йстеръ (учи'тель та'нцевъ)	 
 	танцор		танцо'ръ	 
 	танцуете		танцу'ете, танцу'емъ, танцу'ешь, танцу'етъ	 
 	тапёр		тапёръ (піани'стъ, нанима'ющійся на вечера' игра'ть ба'льные та'нцы), тапёрша	 
 	тапиока		тапіо'ка (крахма'листое вещество', извлека'емое изъ корневы'хъ клу'бней расте'нія маніо'къ)	 
 	тапсия		та'псія	 
 	тара		та'ра, въ та'рѣ	 
 	таракан		тарака'нъ	 
 	тарантас		таранта'съ (про'чный доро'жный экипа'жъ, представля'ющій улу'чшенную телѣ'гу на дли'нныхъ дро'гахъ), въ таранта'сѣ	 
 	тарантелла		таранте'лла (неаполита'нскій та'нецъ чрезвыча'йно бы'страго те'мпа)	 
 	Тарасий		Тара'сій, Тара'съ	 
 	таратайка		тарата'йка (родъ дереве'нскаго двухколёснаго экипа'жа)	 
 	тараторить		тарато'рить (болта'ть безъ у'молку)	 
 	Тардье		Тардье'	 
 	тарелка		таре'лка, въ таре'лкѣ	 
 	тарель		таре'ль (за'дняя пове'рхность заряжа'вшихся съ ду'ла артиллері'йскихъ ору'дій)	 
 	Тарент		Таре'нтъ	 
 	тариф		тарифъ (обнаро'дованная ро'спись цѣ'намъ и'ли пла'ты за прово'зъ пассажи'ровъ и това'ра)	 
 	татарин		тата'ринъ, им. п. мн. ч. тата'ры	 
 	татарские		тата'рскіе (м. р.), тата'рскія (ж. р. и ср. р.)	 
 	татарское		тата'рское	 
 	татерсаль		татерса'ль (мѣ'сто собра'нія люби'телей верхово'й ѣзды')	 
