за 	заалеть		заалѣ'ть	^
 	забава		заба'ва, въ заба'вѣ, заба'венъ	 
 	забавен		заба'венъ	 
 	забавнее		заба'внѣе	 
 	забавненько		заба'вненько	 
 	забавное		заба'вное	 
 	забавные		заба'вные (м. р.), заба'вныя (ж. р. и ср. р.)	 
 	забавный		заба'вный, заба'внаго	 
 	забагроветь		забагровѣ'ть	 
 	Забайкалье		Забайка'лье, въ Забайка'льѣ	 
 	забвение		забве'ніе	 
 	забег		забѣ'гъ, при забѣ'гѣ	 
 	забегаю		забѣга'ю (вперёдъ), забѣ'гаю (отъ бѣ'гать)	 
 	забежать		забѣжа'ть	 
 	забей		забе'й, забе'йте	 
 	забейте		забе'йте	 
 	забелён		забѣлёнъ	 
 	забелеть		забѣлѣ'ть	 
 	Забелин		Забѣ'линъ	 
 	забелить		забѣли'ть	 
 	Забелло		Забѣ'лло	 
 	заберег		за'берегъ (вода', выступа'ющая въ при'быль у берего'въ пове'рхъ льда)	 
 	забережье		забере'жье	 
 	заберём		заберёмъ, заберётъ, заберёте, заберёшь	 
 	забеременела		забере'менѣла	 
 	забеременеть		забере'менѣть	 
 	заберите		забери'те	 
 	заберу		заберу'	 
 	забесноваться		забѣснова'ться	 
 	забеспокоился		забезпоко'ился	 
 	забетонировать		забетони'ровать	 
 	забирается		забира'ется, забира'етесь	 
 	забияка		забія'ка, о забія'кѣ	 
 	заблаговременно		заблаговре'менно	 
 	заблёванный		заблёванный	 
 	заблестеть		заблестѣ'ть	 
 	заблеять		забле'ять	 
 	заблуждаетесь		заблужда'етесь	 
 	заблуждается		заблужда'ется	 
 	заблуждение		заблужде'ніе	 
 	заблюёт		заблюётъ, заблюёте	 
 	заболевание		заболѣва'ніе	 
 	заболеет		заболѣ'етъ, заболѣ'ете, заболѣ'емъ, заболѣ'ешь	 
 	заболел		заболѣ'лъ, заболѣ'ла, заболѣ'ли, заболѣ'ло	 
 	заболеть		заболѣ'ть	 
 	забор		забо'ръ, на забо'рѣ	 
 	забрезжил		забре'зжилъ	 
 	забредёт		забредётъ, забредёте,	 
 	забрёл		забрёлъ	 
 	забренчал		забренча'лъ	 
 	забрести		забрести', забре'сть	 
 	забрешет		забре'шетъ	 
 	заброшенный		забро'шенный, забро'шеннаго	 
 	забубённый		забубённый	 
 	забудьте		забу'дьте	 
 	забурённый		забурённый	 
 	забушевал		забушева'лъ	 
 	забьём		забьёмъ	 
 	забьёт		забьётъ	 
 	забьёте		забьёте	 
 	забьёшь		забьёшь	 
 	забывает		забыва'етъ	 
 	забывается		забыва'ется	 
 	забываете		забыва'ете	 
 	забываетесь		забыва'етесь	 
 	забывайте		забыва'йте, не забыва'йте	 
 	забывайтесь		забыва'йтесь, не забыва'йтесь	 
 	забытьё		забытьё, въ забытьи'	 
 	завален		зава'ленъ	 
 	завалинка		зава'линка, зава'лина (на'сыпь вдо'ль нару'жныхъ стѣ'нъ въ основа'ніи по пери'метру деревя'ннаго до'ма)	 
 	заваренный		зава'ренный	 
 	заведём		заведёмъ, заведёмся	 
 	заведён		заведёнъ	 
 	заведение		заведе'ніе	 
 	заведённый		заведённый	 
 	заведёт		заведётъ, заведётся	 
 	заведёте		заведёте	 
 	заведёшь		заведёшь, заведёшься	 
 	заведите		заведи'те	 
 	заведовать		завѣ'довать и завѣ'дывать	 
 	заведомо		завѣ'домо (созна'тельно, несомнѣ'нно, умы'шленно, какъ извѣ'стно... нaпр. завѣ'домо кра'деныя ве'щи)	 
 	заведую		завѣ'дую и завѣ'дываю	 
 	заведующий		завѣ'дующій и завѣ'дывающій; не завѣ'дущій! но глаза завиду'щіе	 
 	завезём		завезёмъ	 
 	завезён		завезёнъ	 
 	завезёт		завезётъ	 
 	завезёте		завезёте	 
 	завезёшь		завезёшь	 
 	завезти		завезти'	 
 	завёзший		завёзшій	 
