аа 	Аахен		Аа'хенъ (го'родъ)	^
аб 	абажур		абажу'ръ, на абажу'рѣ	^
 	абассаменто		абассаме'нто (поднесе'ніе одно'й руки' подъ другу'ю при игрѣ' на фортепья'но)	 
 	Абашев		Аба'шевъ	 
 	аббат		абба'тъ	 
 	аббатимент		абба'тиментъ (поеди'нки, би'тва и вое'нные та'нцы на сце'нѣ)	 
 	аббревиатор		аббревіаторъ (та'йный писе'цъ па'пской канцеля'ріи)	 
 	аббревиатура		аббревіату'ра (сокраще'ніе нѣ'сколькихъ сло'въ)	 
 	аббревиация		аббревіа'ція (неразви'тіе о'ргановъ)	 
 	Абель		А'бель	 
 	Абеляр		Абеля'ръ	 
 	Абердиншир		Абердинши'ръ	 
 	аберрация		аберра'ція (искаже'ніе)	 
 	абитуриент		абитуріе'нтъ	 
 	аблегат		аблега'тъ (чрезвыча'йный па'пскій посла'нникъ)	 
 	аблегация		аблега'ція (удале'ніе изъ оте'чества подъ благови'днымъ предло'гомъ), но облига'ція, но облега'ть	 
 	аблепсия		абле'псія (слѣпота')	 
 	аболиция		аболи'ція (обще'ственное движе'ніе за отмѣ'ну чего'-либо), аболиціони'змъ	 
 	абонемент		абонеме'нтъ (подпи'ска на мѣ'сто въ теа'трѣ, на получе'ніе журна'ловъ, чте'ніе кни'гъ)	 
 	абонент		абоне'нтъ (тотъ, кто на что'-нибудь абони'ровался)	 
 	абонирует		абони'руетъ	 
 	аборигены		абориге'ны (коренны'е тузе'мцы, первобы'тные обита'тели страны'), автохто'ны	 
 	абреже		абреже' (пе'речень основны'хъ темъ и'ли вну'треннихъ заголо'вковъ главы')	 
 	абрек		абре'къ (го'рецъ)	 
 	абсент		абсе'нтъ (крѣ'пкій алкого'льный напи'токъ изъ полы'ни)	 
 	абсурд		абсу'рдъ (чепуха', вздо'ръ, нелѣ'пость)	 
 	абсцесс		абсце'ссъ (гнойни'къ, нары'въ)	 
 	абулия		абулі'я (отсу'тствіе во'ли, нерѣши'тельность, безразсу'дность, неразу'міе)	 
 	абхазец		абха'зецъ	 
 	Абхазия		Абха'зія	 
ав 	авангард		аванга'рдъ, въ аванга'рдѣ	^
 	авания		ава'нія (оскорбле'ніе, оби'да)	 
 	авансцена		авансце'на (пере'дняя ча'сть сце'ны)	 
 	аварийного		аварі'йнаго	 
 	аварийное		аварі'йное	 
 	аварийные		аварі'йные (м. р.), аварі'йныя (ж. р. и ср. р.)	 
 	аварийный		аварі'йный, аварі'йнаго	 
