ча 	Чаадаев		Чаада'евъ	^
 	чабёр		ча'бёръ, чебре'цъ	 
 	чабрец		чебре'цъ, ча'бёръ	 
 	Чаев		Ча'евъ	 
 	чаёвник		чаёвникъ	 
 	чаёвничать		чаёвничать	 
 	чаевод		чаево'дъ, чаево'дство	 
 	чаевые		чаевы'я (де'ньги), чаевы'хъ, чаево'й рубль	 
 	чаек		ча'екъ (ча'йка)	 
 	чаёк		чаёкъ, чайко'мъ, чайка' и чайку'	 
 	чаем		ча'емъ (души' не ча'емъ), ча'емый, ча'етъ, ча'ете, ча'ешь, ча'ять, ча'ю	 
 	чаепитие		чаепи'тіе	 
 	чает		ча'етъ (души' не ча'етъ), ча'ю, ча'ютъ, ча'ешь, ча'емъ, чаять	 
 	чай		чай (напи'токъ), въ ча'ѣ и въ чаю', ча'я и ча'ю, чаи', чаёвъ, чая'мъ	 
 	чай		чай (пожа'луй, всё-таки); ко'ни, чай, устали; чай, не чужо'й человѣ'къ	 
 	чайное		ча'йное	 
 	чайные		ча'йныя (сyщ. мн. ч. отъ ча'йная)	 
 	чайные		ча'йные (пpил. м. р. — ча'йные до'мики), ча'йныя (пpил. ж. р. и ср. р. — ча'йныя планта'ціи)	 
 	чакрыжить		чакры'жить	 
 	Чальмерс		Ча'льмерсъ	 
 	Чарнецкий		Чарне'цкій	 
 	чародей		чародѣ'й	 
 	час		часъ, въ ча'сѣ	 
 	часовенка		часо'венка	 
 	часовня		часо'вня, род. п. мн. ч. часо'венъ, часо'венка	 
 	часовые		часовы'е (стра'жники)	 
 	часовые		часовы'е (м. р. — промежу'тки), часовы'я (ж. р. и ср. р. — отмѣ'тки)	 
 	час от часу		часъ-о'тъ-часу	 
 	часочек		часо'чекъ	 
 	частенько		часте'нько	 
 	частёхонько		частёхонько	 
 	частица		части'ца, о части'цѣ, части'цей	 
 	частичка		части'чка, въ части'чкѣ, части'чекъ	 
 	частичного		части'чнаго	 
 	частичное		части'чное	 
 	частичные		части'чные (м. р.), части'чныя (ж. р. и ср. р.)	 
 	частное		ча'стное (не ча'сное!)	 
