э 	э		Э — три'дцать пе'рвая бу'ква ру'сской а'збуки	^
эб 	эбенист		эбени'стъ (краснодере'вецъ)	^
 	эбеновое		эбе'новое (де'рево)	 
 	Эберс		Э'берсъ	 
 	эбонит		эбони'тъ	 
эв 	эвакуация		эвакуа'ція	^
 	Эвбея		Эвбе'я	 
 	эвдемонизм		эвдемони'змъ (эти'ческое уче'ніе, полага'ющее цѣль человѣ'ческой жи'зни въ достиже'ніи сча'стья)	 
 	эвекция		эве'кція луны' (періоди'ческая непра'вильность въ движе'ніи луны' вслѣ'дствіе влія'нія на неё со'лнца)	 
 	Эверест		Эвере'стъ	 
 	Эверс		Э'версъ	 
 	Эвклид		Эвкли'дъ	 
 	эволюция		эволю'ція	 
 	эвона		э'вона — части'ца	 
 	эвот		э'вотъ — части'ца	 
 	Эвре		Эвре'	 
 	эврика		э'врика	 
 	Эвриклея		Эврикле'я	 
 	Эврипид		Эврипи'дъ	 
 	Эврисфей		Эврисѳе'й	 
 	Эвтерпа		Эвте'рпа	 
 	эвфемизм		евфеми'змъ	 
 	эвфонит		эвфони'тъ (музыка'льный инструме'нтъ, нѣ'что въ ро'дѣ гармо'ники)	 
 	эвфония		эвфоні'я, евфоні'я (благозву'чіе)	 
 	эвфуизм		евфуи'змъ (въ А'нгліи — напы'щенный сло'гъ)	 
эг 	Эгберт		Э'гбертъ	^
 	эге		эге' (междоме'тіе), э-ге-ге'	 
 	Эгеде		Эге'де	 
 	эгей		эге'й (э'й)	 
 	Эгей		Эге'й	 
 	Эгейское		Эге'йское (мо'ре)	 
 	Эгер		Э'геръ	 
 	Эгерия		Эге'рія	 
 	эгида		эги'да	 
 	эгоизм		эгои'змъ, эгоисти'ческій	 
 	эгоистический		эгоисти'ческій	 
эд 	эдак		э'дакъ, э'такъ	^
 	эдакий		э'дакій, э'такій	 
 	Эделинк		Эдели'нкъ	 
 	Эдельсон		Эдельсо'нъ	 
 	Эдельфельд		Эдельфе'льдъ	 
 	эдем		эде'мъ	 
 	Эдесса		Эде'сса	 
 	Эдигей		Эдиге'й	 
 	эдикт		эди'ктъ	 
 	Эдип		Эди'пъ	 
эж 	эжектор		эже'кторъ	^
эз 	Эзель		Э'зель	^
 	Эзоп		Эзо'пъ	 
 	эзотерический		эзотери'ческій (та'йный, вну'тренній)	 
эй 	Эйзенах		Эйзена'хъ	^
 	Эйкен		Э'йкенъ	 
 	Эйлер		Э'йлеръ	 
 	Эйслебен		Эйсле'бенъ	 
 	Эйфелева		Э'йфелева (ба'шня)	 
 	Эйфель		Э'йфель	 
 	эйфория		эвфорі'я, евфорі'я	 
 	Эйхендорф		Эйхендо'рфъ	 
эк 	экарте		экарте' (ка'рточная игра' для двухъ лицъ съ 32 ка'ртами)	^
 	экватор		эква'торъ	 
 	эквивалент		эквивале'нтъ	 
 	экзальтация		экзальта'ція	 
 	экзамен		экза'менъ	 
 	экзаменатор		экзамина'торъ (а не экзамена'торъ)	 
 	экзарх		экза'рхъ и екза'рхъ	 
 	экзегетика		экзеге'тика, экзеге'за (истолкова'ніе библе'йскихъ те'кстовъ), экзегети'ческій	 
 	экзекутор		экзеку'торъ	 
 	экзекуция		экзеку'ція	 
 	экзема		экзе'ма	 
 	экземпляр		экземпля'ръ	 
 	экзерсис		экзерси'съ (упражне'ніе), экзерци'ція	 
 	экзерциция		экзерци'ція (упражне'ніе), экзерси'съ	 
 	экзистенция		экзисте'нція, экзистенціали'змъ, экзистенціали'стъ	 
