фа 	Фабер		Фа'беръ	^
 	Фабиан		Фабіа'нъ	 
 	Фабии		Фа'біи	 
 	фаблио		фа'бліо (небольші'е юмористи'ческіе разска'зы, получи'вшіе разви'тіе въ сре'дніе вѣка' на сѣ'верѣ Фра'нціи)	 
 	фабренный		фа'бренный, фа'бреніе (черне'ніе усо'въ и бороды')	 
 	фабрика		фа'брика, на фа'брикѣ	 
 	фабрикант		фабрика'нтъ	 
 	фабула		фа'була	 
 	Фавмасий		Ѳавма'сій	 
 	Фавор		Ѳаво'ръ	 
 	фаворит		фавори'тъ	 
 	Фаге		Фаге'	 
 	фагот		фаго'тъ, на фаго'тѣ	 
 	Фаддей		Ѳадде'й	 
 	Фадеев		Фадѣ'евъ	 
 	Фаенца		Фае'нца	 
 	фазан		фаза'нъ	 
 	фазанёнок		фазанёнокъ	 
 	Фаида		Ѳаи'да	 
 	Фаиса		Ѳаи'са	 
 	факел		фа'келъ	 
 	факир		факи'ръ	 
 	факсимиле		факсимиле' (то'чное воспроизведе'ніе по'дписи, ру'кописи и т.п.)	 
 	факт		фа'ктъ, объ э'томъ фа'ктѣ, въ фа'ктѣ	 
 	фактически		факти'чески	 
 	фактические		факти'ческіе (м. р.), факти'ческія (ж. р. и ср. р.)	 
 	фактический		факти'ческій, факти'ческаго	 
 	фактическое		факти'ческое	 
 	фактор		фа'кторъ	 
 	фактория		факто'рія (торго'вый посёлокъ, конто'ра, осно'ванная европе'йцами въ некульту'рной странѣ')	 
 	фактура		факту'ра	 
 	факультет		факульте'тъ, на факульте'тѣ	 
 	факция		фа'кція (за'говоръ, крамо'ла, па'ртія загово'рщиковъ)	 
 	Фалалей		Ѳалале'й	 
 	фаланга		фала'нга	 
 	фаланстер		фалансте'ръ (по соціалисти'ческой систе'мѣ Фурье' — собра'ніе жили'щъ и обще'ственныхъ зда'ній отдѣ'льной фала'нги и'ли общи'ны)	 
 	фалда		фа'лда, фа'лды (удлинённые за'дніе концы' фра'ка и'ли мунди'ра)	 
 	фалернское		фале'рнское (со'ртъ вина' у ри'млянъ)	 
 	Фалес		Ѳа'лесъ	 
 	фаллический		фалли'ческій	 
 	фаллопиевы		фалло'піевы (тру'бы — часть же'нскаго полово'го о'ргана)	 
