ха 	Хабрий		Ха'брій	^
 	Хаджибей		Хаджибе'й	 
 	хаживать		ха'живать	 
 	хазары		хаза'ры	 
 	хакер		ха'керъ, о ха'керѣ, кулъ ха'цкеръ :)	 
 	Хакодате		Хакода'те	 
 	халат		хала'тъ, въ хала'тѣ	 
 	халдей		халде'й, халде'емъ	 
 	Халдея		Халде'я	 
 	Халкедон		Халкедо'нъ	 
 	халцедон		халцедо'нъ	 
 	хамелеон		хамелео'нъ	 
 	хамьё		хамьё	 
 	ханжество		ха'нжество	 
 	хаос		ха'осъ, въ ха'осѣ	 
 	хаотический		хаоти'ческій	 
 	хапанёт		хапанётъ	 
 	харабрец		харабре'цъ (предсме'ртный храпъ)	 
 	характер		хара'ктеръ	 
 	характеристика		характери'стика	 
 	характернее		характе'рнѣе	 
 	характерный		характе'рный (типи'чный), хара'ктерный (о ро'ли)	 
 	харатейный		харате'йный (пи'санный на перга'ментѣ)	 
 	харатья		харатья', ха'ртія	 
 	Хариесса		Харіе'сса	 
 	хариус		ха'ріусъ	 
 	Харлампий		Харла'мпій и Харала'мпій	 
 	хартия		ха'ртія, харатья' (ру'копись, гра'мота; въ сре'дніе вѣка' госуда'рственнаго а'кта)	 
 	харч		ха'рчъ	 
 	харчевня		харче'вня (тракти'ръ ни'зшаго разбо'ра)	 
 	Харьков		Ха'рьковъ, въ Ха'рьковѣ, Ха'рьковскаго	 
 	хата		ха'та, въ ха'тѣ	 
 	хатёнка		хатёнка	 
хв 	хвалебный		хвале'бный	^
 	хвалёный		хвалёный	 
 	хватает		хвата'етъ, не хвата'етъ	 
 	хвастает		хва'стаетъ	 
 	хвастнёт		хвастнётъ	 
 	хватанёт		хватанётъ	 
 	хватнёт		хватнётъ	 
 	хвощёвый		хвощёвый	 
хе 	Хеврон		Хевро'нъ	^
 	Хейнола		Хейно'ла	 
 	Хельсинки		Гельсингфо'рсъ (столи'ца Вели'каго кня'жества финля'ндскаго)	 
 	Хельчицкий		Хельчи'цкій	 
 	Хемниц		Хе'мницъ	 
 	Хемницер		Хемни'церъ	 
 	Хенцины		Хенци'ны	 
 	Хеопс		Хео'псъ	 
 	хер		Х — хѣ'ръ — два'дцать втора'я бу'ква ру'сской а'збуки	 
 	Херасков		Хера'сковъ	 
 	херес		хе'ресъ	 
 	Херасков		Хера'сковъ	 
 	Херимон		Херимо'нъ	 
 	херить		хе'рить (черка'ть, зачёркивать кресто'мъ)	 
