я 	я		Я — три'дцать тре'тья бу'ква ру'сской а'збуки	^
яб 	ябеда		я'беда (клевета', доно'съ)	^
 	ябедник		я'бедникъ (въ дре'вней Руси' ти'тулъ нѣ'которыхъ должностны'хъ лицъ — при'ставовъ, стра'жей, глаша'таевъ; по показа'нію лѣтопи'сцевъ, я'бедники отлича'лись обыкнове'нно а'лчностью и на'глымъ граби'тельствомъ)	 
 	ябедничать		я'бедничать	 
 	яблоневый		я'блоневый	 
 	яблоня		я'блоня и я'блонь, на я'блонѣ, я'блоневый	 
 	яблочное		я'блочное, я'блочнаго	 
 	яблочные		я'блочные (м. р.), я'блочныя (ж. р. и ср. р.)	 
яв 	я вас люблю		я васъ люблю'	^
 	явившее		яви'вшее	 
 	явившиеся		яви'вшіеся (м. р.), яви'вшіяся (ж. р. и ср. р.)	 
 	явите		яви'те (бо'жескую ми'лость)	 
 	явление		явле'ніе	 
 	являвшегося		явля'вшагося	 
 	являвшееся		явля'вшееся	 
 	являвшиеся		явля'вшіеся (м. р.), явля'вшіяся (ж. р. и ср. р.)	 
 	является		явля'ется, явля'емся, явля'ешься, явля'етесь	 
 	являться		явля'ться, явля'ется, яви'ться, я'вится	 
 	явное		я'вное, я'внаго	 
 	явственен		я'вствененъ	 
 	явственнее		я'вственнѣе	 
 	явственно		я'вственно	 
 	явственного		я'вственнаго	 
 	явственные		я'вственные (м. р.), я'вственныя (ж. р. и ср. р.)	 
 	явствует		я'вствуетъ	 
яг 	ягдташ		ягдта'шъ и яхта'шъ (охо'тничья су'мка), въ ягдта'шѣ, ягдта'шемъ	^
 	Ягелло		Яге'лло	 
 	Ягеллоны		Ягелло'ны	 
 	ягель		я'гель (лиша'йникъ, оле'ній мохъ)	 
 	ягнёнка		ягнёнка	 
 	ягнёнок		ягнёнокъ, им. п. мн. ч. ягня'та	 
 	ягода		я'года, въ я'годѣ	 
 	ягодица		я'годица (совоку'пность мы'шцъ, покры'тыхъ жирово'й клѣтча'ткой и ко'жей и составля'ющихъ мя'гкую поду'шку — одна' изъ полови'нъ за'дницы), по я'годицѣ, я'годицей	 
 	ягодное		я'годное мѣ'сто, я'годнаго	 
 	ягодные		я'годные (м. р.), я'годныя (ж. р. и ср. р.)	 
яд 	яд		ядъ, (не іа'дъ :)	^
 	ядерный		я'дерный (отъ ядро')	 
 	ядовитейший		ядови'тѣйшій	 
 	ядрёный		ядрёный (свѣ'жій, крѣ'пкій, со'чный)	 
яз 	язвенник		я'звенникъ	^
 	язвительно		язви'тельно	 
 	язвление		язвле'ніе, язвле'нье	 
 	язёвый		язёвый (напр. пиро'гъ изъ язя')	 
 	язь		язь, язе'й, язи', язёвый, о язѣ' (не йа'зь :)	 
 	язык		язы'къ, о языкѣ', на англі'йскомъ языкѣ'	 
 	языковедение		языковѣ'дѣніе (то же, что филоло'гія)	 
 	языкознание		языкозна'ніе (лингви'стика)	 
 	языцех		язы'цѣхъ (при'тча во язы'цѣхъ — ста'ть предме'томъ о'бщихъ разгово'ровъ, войти' въ посло'вицу)	 
 	языческий		язы'ческій	 
 	язычество		язы'чество (о'бщее назва'ніе всѣхъ рели'гій, за исключе'ніемъ христіа'нства, іудаи'зма и магомета'нства)	 
 	язычник		язы'чникъ, язы'чество, язы'ческій	 
 	язычок		язычо'къ, язычёкъ	 
яй 	яйцевидный		яйцеви'дный	^
 	яйцеклад		яйцекла'дъ	 
 	яйценосный		яйцено'сный	 
 	яйцо		яйцо' (им. п. мн. ч. я'йца), въ яйцѣ'	 
як 	яко		я'ко (какъ)	^
 	Якобий		Яко'бій	 
 	Яков		Я'ковъ и Іа'ковъ, Я'ковлевичъ, Я'ковлевъ	 
 	якорёк		якорёкъ	 
 	якорь		я'корь, на я'корѣ	 
 	якшаться		якша'ться (вести' знако'мство, проводи'ть съ кѣ'мъ-либо вре'мя, имѣ'ть дѣла')	 
ял 	Ялта		Я'лта, въ Я'лтѣ	^
 	ялтинский		я'лтинскій	 
ям 	ямбический		ямби'ческій	^
 	ямщик		ямщи'къ	 
ян 	январь		янва'рь, въ январѣ', янва'рскій, пе'рваго января'	^
 	Яндекс		Я'ндексъ (непремѣ'нно погу'гли въ Я'ндексѣ :)	 
 	Янсен		Я'нсенъ	 
 	Янсений		Янсе'ній	 
 	Янсон		Янсо'нъ	 
 	Ян-Майен		Янъ-Ма'йенъ	 
 	янтарём		янтарёмъ	 
 	янтарь		янта'рь	 
 	Януарий		Іануа'рій	 
яп 	Япет		Япе'тъ	^
 	японец		япо'нецъ, о япо'нцѣ	 
 	Япония		Япо'нія, Япо'ніей	 
 	японского		япо'нскаго	 
 	японское		япо'нское	 
