оа 	оазис		оа'зисъ, въ оа'зисѣ	^
 	Оаннес		Оа'ннесъ	 
об 	об		объ, о'бо	^
 	оба		о'ба (м. р. и ср. р.) не обо'и!, обо'ихъ, обо'имъ, обо'ими, объ обо'ихъ	 
 	обабление		оба'бленіе, оба'бленье (о мужчи'нѣ — стать ме'лочнымъ, безхара'ктернымъ; о же'нщинѣ — стать по'шлой, огрубѣ'ть, опусти'ться), оба'биться	 
 	обагрён		обагрёнъ	 
 	обагрение		обагре'ніе	 
 	обагрённый		обагрённый	 
 	обалдеет		обалдѣ'етъ, обалдѣ'емъ, обалдѣ'ешь, обалдѣ'ютъ, обалдѣ'ли, обалдѣ'лъ, обалдѣ'ла, обалдѣ'ло	 
 	обалделый		обалдѣ'лый, обалдѣ'лаго	 
 	обалдеть		обалдѣ'ть, обалдѣва'ть	 
 	обаяние		обая'ніе	 
 	обаятелен		обая'теленъ	 
 	обаятельный		обая'тельный	 
 	оббегать		оббѣга'ть	 
 	оббежать		оббѣжа'ть	 
 	обваленный		обва'ленный	 
 	обваренный		обва'ренный	 
 	обведём		обведёмъ	 
 	обведение		обведе'ніе	 
 	обведённый		обведённый	 
 	обведёшь		обведёшь	 
 	обвезённый		обвезённый	 
 	обвёзший		обвёзшій	 
 	обвёл		обвёлъ	 
 	обвенчаться		обвѣнча'ться	 
 	обвернёшь		обвернёшь	 
 	обвернуть		обверну'ть	 
 	обвёрнутый		обвёрнутый	 
 	обвертеть		обвертѣ'ть	 
 	обвес		обвѣ'съ	 
 	обвесить		обвѣ'сить (недовѣ'сить; обвѣ'шать)	 
 	обвеситься		обвѣ'ситься (обвѣ'шиваться; обвѣ'шаться)	 
 	обвести		обвести'	 
 	обветренный		обвѣ'тренный	 
 	обветшалый		обветша'лый	 
 	обвешанный		обвѣ'шанный	 
 	обвешать		обвѣ'шать (увѣ'шать со всѣ'хъ сторо'нъ)	 
 	обвешаться		обвѣ'шаться (увѣ'шать себя' чѣ'мъ-либо)	 
 	обвешенный		обвѣ'шенный (обвѣ'сить)	 
 	обвешённый		обвѣшённый (обвѣши'ть)	 
 	обвешивать		обвѣ'шивать (обвѣ'сить; обвѣ'шать; обвѣши'ть)	 
 	обвешиваться		обвѣ'шиваться (обвѣ'сить; обвѣ'ситься)	 
 	обвешить		обвѣши'ть (обста'вить вѣ'хами)	 
 	обвеянный		обвѣ'янный	 
 	обвинение		обвине'ніе	 
 	обвинённый		обвинённый, обвинённаго	 
 	обвиняемый		обвиня'емый, обвиня'емаго	 
 	обвиняет		обвиня'етъ, обвиня'ется	 
 	обводнение		обводне'ніе	 
 	обводнённый		обводнённый	 
 	обворожение		обвороже'ніе	 
 	обворожённый		обворожённый	 
 	обгаженный		обга'женный	 
 	обглядел		обглядѣ'лъ	 
 	обгляделся		обглядѣ'лся	 
 	обглядеть		обглядѣ'ть	 
 	обглядеться		обглядѣ'ться	 
 	обговорённый		обговорённый	 
 	обгорать		обгора'ть	 
