уб 	убавление		убавле'ніе	^
 	убегать		убѣга'ть, убѣ'чь	 
 	убедившись		убѣди'вшись	 
 	убедился		убѣди'лся, убѣди'лась, убѣди'лись	 
 	убедительная		убѣди'тельная	 
 	убедительнее		убѣди'тельнѣе	 
 	убедительнейший		убѣди'тельнѣйшій	 
 	убедительно		убѣди'тельно	 
 	убедительные		убѣди'тельные (м. р.), убѣди'тельныя (ж. р. и ср. р.)	 
 	убедитесь		убѣди'тесь	 
 	убедится		убѣди'тся, убѣдя'тся	 
 	убедить		убѣди'ть	 
 	убедиться		убѣди'ться	 
 	убедясь		убѣдя'сь	 
 	убедят		убѣдя'тъ	 
 	убежавшие		убѣжа'вшіе (м. р.), убѣжа'вшія (ж. р. и ср. р.)	 
 	убежавший		убѣжа'вшій	 
 	убежавшими		убѣжа'вшими	 
 	убежал		убѣжа'лъ, убѣжа'ла, убѣжа'ли	 
 	убежать		убѣжа'ть, убѣга'ть	 
 	убеждал		убѣжда'лъ, убѣжда'ла, убѣжда'ли, убѣжда'ло	 
 	убеждать		убѣжда'ть	 
 	убеждён		убѣждёнъ, убѣждена', убѣждены'	 
 	убеждение		убѣжде'ніе, убѣжде'ніемъ	 
 	убеждённый		убѣждённый, убѣждённѣе, убѣждённѣйшій	 
 	убежище		убѣ'жище, въ убѣ'жищѣ	 
 	убей		убе'й, убе'йте	 
 	убейте		убе'йте	 
 	убелённый		убѣлённый	 
 	убелить		убѣли'ть	 
 	убелять		убѣля'ть	 
 	уберегать		уберега'ть	 
 	уберёгшийся		уберёгшійся	 
 	убережённый		убережённый	 
 	уберётесь		уберётесь	 
 	уберечь		убере'чь	 
 	уберёшься		уберёшься	 
 	уберите		убери'те, убери'тесь	 
 	уберут		уберу'тъ	 
 	убивает		убива'етъ, убива'емъ, убива'ешь	 
 	убивается		убива'ется, убива'емся, убива'ешься	 
 	убивайте		убива'йте	 
 	убивец		уби'вецъ	 
 	убиен		убіе'нъ	 
 	убиение		убіе'ніе	 
 	убиением		убіе'ніемъ	 
 	убиенного		убіе'ннаго	 
 	убиенное		убіе'нное	 
 	убиенные		убіе'нные (м. р.), убіе'нныя (ж. р. и ср. р.)	 
 	убиенный		убіе'нный, убіе'ннаго	 
 	убийственного		убі'йственнаго	 
 	убийственно		убі'йственно	 
 	убийственное		убі'йственное	 
 	убийственные		убі'йственные (м. р.), убі'йственныя (ж. р. и ср. р.)	 
 	убийственный		убі'йственный, убі'йственнаго	 
 	убийство		убі'йство, объ убі'йствѣ	 
 	убийца		убі'йца, объ убі'йцѣ	 
 	ублаготворённый		ублаготворённый	 
 	ублажённый		ублажённый	 
 	убогие		убо'гіе (м. р.), убо'гія (ж. р. и ср. р.)	 
 	убогий		убо'гій, убо'гаго	 
 	убогое		убо'гое	 
 	убогонький		убо'гонькій, убо'гонькаго	 
 	убожество		убо'жество	 
 	убредёшь		убредёшь	 
 	убудет		убу'детъ	 
 	убьём		убьёмъ	 
 	убьёт		убьётъ	 
 	убьёшь		убьёшь	 
 	убьёшься		убьёшься	 
 	убыстрённый		убыстрённый	 
ув 	уважаемого		уважа'емаго	^
 	уважаемые		уважа'емые (м. р.), уважа'емыя (ж. р. и ср. р.)	 
 	уважаемый		уважа'емый	 
 	уважает		уважа'етъ	 
 	уважение		уваже'ніе	 
 	уважительный		уважи'тельный	 
 	уважьте		ува'жьте (отъ ува'жить)	 
 	увалень		у'валень (лѣнтя'й, лежебо'къ, со'ня, неповоро'тливый, ували'вшійся)	 
 	уваренный		ува'ренный	 
 	уведённый		уведённый	 
 	уведёмъ		уведёмъ	 
 	уведётъ		уведётъ	 
 	уведёшь		уведёшь	 
 	уведомить		увѣ'домить	 
 	уведомление		увѣдомле'ніе	 
 	уведу		уведу'	 
 	увезённый		увезённый, увезённаго	 
 	увезёшь		увезёшь	 
 	увезти		увезти' и уве'зть	 
 	увековечить		увѣковѣ'чить	 
 	увёл		увёлъ	 
 	увеличение		увеличе'ніе	 
 	увеличенный		увели'ченный	 
 	увеличить		увели'чить	 
 	увенчать		увѣнча'ть	 
 	уверен		увѣ'ренъ	 
 	уверение		увѣре'ніе, увѣре'нія	 
 	увереннее		увѣ'реннѣе	 
 	увереннейший		увѣ'реннѣйшій	 
 	уверенность		увѣ'ренность	 
 	уверить		увѣ'рить	 
 	увернёшься		увернёшься	 
 	увернуться		уверну'ться	 
 	увёрнутый		увёрнутый	 
 	уверовать		увѣ'ровать	 
 	увёрстанный		увёрстанный	 
 	увёрстывать		увёрстывать	 
 	увертеться		увертѣ'ться	 
 	увёртка		увёртка	 
 	увёртливый		увёртливый	 
 	увёртывать		увёртывать	 
 	увертюра		увертю'ра	 
 	уверять		увѣря'ть, увѣря'ю, увѣря'ешь, увѣря'ете, увѣря'ютъ, увѣря'емъ	 
 	увеселение		увеселе'ніе	 
 	увеселённый		увеселённый	 
 	увеселительного		увесели'тельнаго	 
 	увеселительное		увесели'тельное	 
 	увеселительные		увесели'тельные (м. р.), увесели'тельныя (ж. р. и ср. р.)	 
 	увеселительный		увесели'тельный, увесели'тельнаго	 
 	увесить		увѣ'сить	 
 	увесистый		увѣ'систый	 
 	увести		увести', уведу', уведёшь, увёлъ, увела', увело', уве'дшій, уведённый, уведёнъ, уведена', уведено', уведя'	 
 	увет		увѣ'тъ (увѣща'ніе, совѣ'тъ)	 
 	увечный		увѣ'чный, увѣ'чнаго	 
 	увечье		увѣ'чье, увѣ'чій	 
 	увешанный		увѣ'шанный (отъ увѣ'шать)	 
 	увешать		увѣ'шать	 
 	увешенный		увѣ'шенный (отъ увѣ'сить)	 
 	увещание		увѣща'ніе	 
 	увещевать		увѣщева'ть и увѣщава'ть	 
 	увидевший		уви'дѣвшій	 
 	увиденный		уви'дѣнный	 
 	увидеть		уви'дѣть	 
 	увидит		уви'дитъ	 
 	увильнёшь		увильнёшь	 
 	увлажнённый		увлажнённый	 
 	увлёк		увлёкъ, увлекла', увлекли', увлекло'	 
 	увлекает		увлека'етъ, увлека'ется	 
 	увлекательно		увлека'тельно, увлека'тельное	 
 	увлекать		увлека'ть, увлека'ться	 
 	увлёкся		увлёкся, увлекла'сь, увлекли'сь	 
 	увлёкшийся		увлёкшійся	 
 	увлечение		увлече'ніе	 
 	увлечённый		увлечённый, увлечённаго	 
 	увлечётесь		увлечётесь	 
 	увлечётся		увлечётся	 
 	увлечь		увле'чь, увлеку', увлечётъ, увлеку'тъ, увлёкъ, увлекла'	 
 	увлечься		увле'чься, увлечётся	 
 	уволенный		уво'ленный, уво'леннаго	 
 	уволочённый		уволочённый	 
 	увольнение		увольне'ніе	 
 	увольте		уво'льте	 
 	увриер		увріе'ръ (рабо'тникъ)	 
 	увриерка		увріе'рка (рабо'тница)	 
 	увьётся		увьётся	 
 	увядать		увяда'ть, увя'дшее	 
уг 	углеводороды		углеводоро'ды	^
 	углеводы		углево'ды	 
 	углекислый		углеки'слый	 
 	углём		углёмъ	 
 	углеподъёмный		углеподъёмный	 
 	углерод		углеро'дъ	 
 	Углич		У'гличъ, въ У'гличѣ, у'гличскій	 
 	угломер		угломѣ'ръ	 
 	углублённый		углублённый	 
 	углядел		углядѣ'лъ	 
 	углядеть		углядѣ'ть	 
 	угнездиться		угнѣзди'ться	 
 	угнетает		угнета'етъ	 
 	угнетатель		угнета'тель, угнета'телемъ, объ угнета'телѣ	 
 	угнетать		угнета'ть	 
 	угнетение		угнете'ніе	 
 	угнетённый		угнетённый	 
 	уговорённый		уговорённый	 
 	угодье		уго'дье	 
 	угождение		угожде'ніе	 
 	угол		у'голъ, въ углу' и матем. въ углѣ', во главу' угла'	 
 	уголёк		уголёкъ	 
 	уголёчек		уголёчекъ	 
 	уголовник		уголо'вникъ, объ уголо'вникѣ	 
 	уголовного		уголо'внаго (уголо'вный), но головно'го (головно'й)	 
 	уголовное		уголо'вное дѣ'ло	 
 	уголовные		уголо'вные (м. р.), уголо'вныя (ж. р. и ср. р.)	 
 	уголок		уголо'къ, въ уголкѣ'	 
 	уголь		у'голь, им. п. мн. ч. у'гли и у'голья, у'глей, у'гольевъ	 
 	угомонённый		угомонённый	 
 	угорать		угара'ть	 
 	угорелый		угорѣ'лый	 
 	угореть		угорѣ'ть	 
 	угощает		угоща'етъ, угоща'ете, угоща'емъ, угоща'ешь	 
 	угощается		угоща'ется, угоща'етесь, угоща'емся, угоща'ешься	 
 	угощение		угоще'ніе, угоще'нія	 
 	угощённый		угощённый	 
 	угребать		угреба'ть	 
 	угребёт		угребётъ	 
 	угревать		угрѣва'ть	 
 	угреватый		угрева'тый	 
 	угревой		угревой (отъ у'горь — прыщъ)	 
 	угрёвый		угрёвый (отъ у'горь — ры'ба)	 
 	угрёнок		угрёнокъ	 
 	угретый		угрѣ'тый	 
 	Угреша		Угрѣ'ша, Нико'ло-Угрѣ'шскій монасты'рь	 
 	угрызение		угрызе'ніе	 
 	угрызённый		угрызённый	 
 	угрюмее		угрю'мѣе	 
 	угрюметь		угрю'мѣть, угрю'мѣю, угрю'мѣешь, угрю'мѣвшій	 
 	угрюмое		угрю'мое, угрю'маго	 
 	угрюмые		угрю'мые (м. р.), угрю'мыя (ж. р. и ср. р.)	 
уд 	удавленник		уда'вленникъ	^
 	удаётся		удаётся	 
 	удаление		удале'ніе (не удоле'ніе!)	 
 	удалённый		удалённый, удалёнъ	 
 	удалец		удале'цъ	 
 	удалой		удало'й	 
 	удалый		уда'лый	 
 	удаляет		удаля'етъ, удаля'емъ, удаля'ешь, удаля'ютъ	 
 	удаляется		удаля'ется, удаля'емся, удаля'ешься, удаля'ются	 
 	удаляйтесь		удаля'йтесь	 
 	удалять		удаля'ть	 
 	удаляться		удаля'ться	 
 	удар		ударъ, въ уда'рѣ	 
 	ударение		ударе'ніе	 
 	ударенный		уда'ренный, пpоcт. вда'ренный (пы'льнымъ мѣшко'мъ)	 
 	ударное		уда'рное	 
 	удаться		уда'ться (а не уда'сться!)	 
 	удача		уда'ча, въ уда'чѣ, уда'чею, уда'чей, нaр. науда'чу, сyщ. надѣ'яться на уда'чу	 
 	удачей		уда'чей	 
 	удачен		уда'ченъ	 
 	удачливее		уда'чливѣе	 
 	удачливого		уда'чливаго	 
 	удачливое		уда'чливое	 
 	удачливые		уда'чливые (м. р.), уда'чливыя (ж. р. и ср. р.)	 
 	удачнее		уда'чнѣе	 
 	удачнейший		уда'чнѣйшій	 
 	удачного		уда'чнаго	 
 	удачное		уда'чное	 
 	удачные		уда'чные (м. р.), уда'чныя (ж. р. и ср. р.)	 
 	удвоение		удвое'ніе	 
 	Уде		У'де	 
 	удевятерённый		удевятерённый	 
 	удел		удѣ'лъ, удѣ'льнаго	 
 	уделать		удѣ'лать, удѣ'ланный	 
 	уделённый		удѣлённый	 
 	уделить		удѣли'ть, удѣли'те	 
 	удельный		удѣ'льный, удѣ'льнаго	 
 	уделывать		удѣ'лывать	 
 	уделяет		удѣля'етъ, удѣля'ешь, удѣля'емъ	 
 	уделять		удѣля'ть, удѣля'ться	 
 	удерёшь		удерёшь	 
 	удерж		у'держъ, у'держу нѣ'тъ, безъ у'держу, у'держу не зна'ть	 
 	удержаться		удержа'ться	 
 	удесятерённый		удесятерённый	 
 	удесятерить		удесятери'ть	 
 	удешевление		удешевле'ніе	 
 	удешевлённый		удешевлённый	 
 	удивительнее		удиви'тельнѣе	 
 	удивительнейший		удиви'тельнѣйшій	 
 	удивительно		удиви'тельно	 
 	удивительного		удиви'тельнаго	 
 	удивительное		удиви'тельное	 
 	удивительные		удиви'тельные (м. р.), удиви'тельныя (ж. р. и ср. р.)	 
 	удивительный		удиви'тельный, удиви'тельнаго	 
 	удивление		удивле'ніе	 
 	удивлённый		удивлённый	 
 	удивляете		удивля'ете	 
 	удлинение		удлине'ніе	 
 	удлинённый		удлинённый	 
 	удобен		удо'бенъ, удо'бнѣе, удо'бнѣйшій	 
 	удобнее		удо'бнѣе, удо'бнѣйшій	 
 	удобрение		удобре'ніе (вся'кое вещество', прибавля'емое къ воздѣ'лываемой по'чвѣ для повыше'нія ея' урожа'йности)	 
 	удовлетворение		удовлетворе'ніе	 
 	удовлетворённый		удовлетворённый	 
 	удовлетворительно		удовлетвори'тельно	 
 	удовольствие		удово'льствіе	 
 	удометр		удо'метръ (дождемѣ'ръ)	 
 	удорожённый		удорожённый	 
 	удостоверение		удостовѣре'ніе	 
 	удостовериться		удостовѣ'риться	 
 	удостоверяет		удостовѣря'етъ	 
 	удостоен		удосто'енъ, досто'инъ	 
 	удочерённая		удочерённая	 
 	удочерённые		удочерённыя (му'жескаго ро'да тутъ быть не мо'жетъ)	 
 	удочерит		удочери'тъ, удочери'шь, удочери'мъ, удочери'ть	 
 	удочерят		удочеря'тъ, удочеря'ть, удочерю'	 
 	удручает		удруча'етъ, удруча'ешь, удруча'ютъ, удруча'емъ	 
 	удручающе		удруча'юще	 
 	удручён		удручёнъ	 
 	удручена		удручена'	 
 	удручённого		удручённаго	 
 	удручённое		удручённое	 
 	удручённость		удручённость	 
 	удручённые		удручённые (м. р.), удручённыя (ж. р. и ср. р.)	 
 	удручённый		удручённый, удручённаго	 
 	удушенного		удуше'ннаго	 
 	удушенное		удуше'нное	 
 	удушенные		удуше'нные (м. р.), удуше'нныя (ж. р. и ср. р.)	 
 	удушенный		удуше'нный, удуше'ннаго	 
 	удушье		уду'шье, уду'шья, уду'шьемъ	 
уе 	уедать		уѣда'ть, уѣ'сть	^
 	уедем		уѣ'демъ, уѣ'детъ, уѣ'дете, уѣ'дешь, уѣ'дутъ	 
 	уединение		уедине'ніе	 
 	уединённый		уединённый	 
 	уёжишься		уёжишься	 
 	уезд		уѣ'здъ, въ уѣ'здѣ, уѣ'здомъ (часть губе'рніи)	 
 	уездить		уѣ'здить (уката'ть), уѣ'здиться (уката'ться)	 
 	уездное		уѣ'здное	 
 	уездные		уѣ'здные (м. р.), уѣ'здныя (ж. р. и ср. р.)	 
 	уездный		уѣ'здный, уѣ'зднаго	 
 	уезжаете		уѣзжа'ете	 
 	уезжать		уѣзжа'ть	 
 	уел		уѣ'лъ, уѣ'ла, уѣ'ли	 
 	уёмистый		уёмистый	 
 	уёмный		уёмный	 
 	уёрзаешься		уёрзаешься	 
 	уесть		уѣ'сть, уѣда'ть	 
 	уехал		уѣ'халъ, уѣ'хала, уѣ'хали	 
 	уехать		уѣ'хать	 
уж 	ужаленный		ужа'ленный	^
 	ужаренный		ужа'ренный	 
 	ужас		у'жасъ, въ у'жасѣ, ужа'снѣе, ужа'снѣйшій, ужаснёшься	 
 	ужасен		ужа'сенъ	 
 	ужаснее		ужа'снѣе, ужа'снѣйшій, но ужаснёшься	 
 	ужаснёшься		ужаснёшься, но ужа'снѣйшій	 
 	ужасного		ужа'снаго	 
 	ужасное		ужа'сное	 
 	ужасные		ужа'сные (м. р.), ужа'сныя (ж. р. и ср. р.)	 
 	уже		уже', у'жъ	 
 	уже		у'же (отъ у'зко)	 
 	ужёвый		ужёвый	 
 	ужели		уже'ли, уже'ль, ужли'	 
 	ужение		уже'ніе, уже'нье	 
 	ужесточённый		ужесточённый	 
 	уживёшься		уживёшься	 
 	ужин		у'жинъ, на у'жинѣ, у'жинаетъ	 
 	ужмёшься		ужмёшься	 
 	ужнётся		ужнётся	 
 	ужо		ужо' (по'зже, пото'мъ) — я ужо' зайду' къ ва'мъ	 
уз 	узаконенный		узако'ненный	^
 	узбеки		узбе'ки	 
 	узда		узда', въ уздѣ'	 
 	уздень		узде'нь (вы'сшій кла'ссъ у черке'сскихъ племёнъ)	 
 	уздечка		узде'чка	 
 	уздцы		уздцы' и устцы'	 
 	Узедом		Узе'домъ	 
 	узел		у'зелъ, узело'къ	 
 	узелок		узело'къ	 
 	узенький		у'зенькій, у'зенькаго	 
 	узкий		у'зкій, у'зкаго	 
 	узкобёдрый		узкобёдрый, узкобёдраго	 
 	узкоколейный		узкоколе'йный, узкоколе'йнаго	 
 	узнаваемого		узнава'емаго	 
 	узнаваемое		узнава'емое	 
 	узнаваемые		узнава'емые (м. р.), узнава'емыя (ж. р. и ср. р.)	 
 	узнаваемый		узнава'емый, узнава'емаго	 
 	узнаем		узна'емъ	 
 	узнаём		узнаёмъ	 
 	узнает		узна'етъ, узна'ете	 
 	узнаёт		узнаётъ, узнаёте	 
 	узнаешь		узна'ешь	 
 	узнаёшь		узнаёшь	 
 	узнайте		узна'йте	 
 	узревать		узрѣва'ть, узрѣва'етъ, узрѣва'ете, узрѣва'ешь, узрѣва'емъ, узрѣва'ютъ	 
 	узренный		узрѣ'нный, узрѣ'ннаго	 
 	узреть		узрѣ'ть, узрѣ'лъ, узрѣ'ла, узрѣ'ли	 
уй 	уйдёте		уйдёте	^
 	уйдёшь		уйдёшь	 
 	уйдите		уйди'те	 
 	уймёшь		уймёшь	 
 	уймите		уйми'те	 
 	уйти		уйти'	 
ук 	ук		У — у'къ — двадца'тая бу'ква ру'сской а'збуки	^
 	укажет		ука'жетъ, ука'жете, ука'жемъ, ука'жешь	 
 	укажите		укажи'те но ука'жете	 
 	указ		ука'зъ, въ ука'зѣ	 
 	указание		указа'ніе	 
 	указанное		ука'занное	 
 	указательный		указа'тельный	 
 	указчик		ука'зчикъ	 
 	укаченный		ука'ченный	 
 	Укереве		Укере'ве	 
 	уклеенный		укле'енный	 
 	уклейка		укле'йка, укле'екъ	 
 	уклея		уклея'	 
 	уклонение		уклоне'ніе	 
 	уклонённый		уклонённый	 
 	укоренившееся		укорени'вшееся	 
 	укоренять		укореня'ть	 
 	укоренённый		укоренённый	 
 	укорённый		укорённый	 
 	укоризненно		укори'зненно	 
 	укоризненный		укори'зненный	 
 	укороченный		укоро'ченный	 
 	укоснение		укосне'ніе (замедле'ніе)	 
 	укоснительный		укосни'тельный (замедля'ющійся)	 
 	украденный		укра'денный	 
 	украдёшь		украдёшь	 
 	украина		укра'ина, окра'ина	 
 	Украина		Укра'йна, Малоро'ссія, на Укра'йнѣ, съ Укра'йны	 
 	украинец		укра'инецъ, малороссія'нинъ, малоро'ссъ, укра'инцемъ	 
 	украинский		укра'инскій	 
 	украшение		украше'ніе	 
 	украшенный		укра'шенный	 
 	украшены		укра'шены	 
 	укрепить		укрѣпи'ть	 
 	укрепление		укрѣпле'ніе	 
 	укреплённый		укрѣплённый	 
 	укрепляется		укрѣпля'ется	 
 	укрепляешься		укрѣпля'ешься	 
 	укреплял		укрѣпля'лъ	 
 	укреплялась		укрѣпля'лась	 
 	укреплялись		укрѣпля'лись	 
 	укреплялся		укрѣпля'лся	 
 	укреплять		укрѣпля'ть	 
 	укрепляться		укрѣпля'ться	 
 	укрепляюще		укрѣпля'юще	 
 	укрепляющего		укрѣпля'ющаго	 
 	укрепляющее		укрѣпля'ющее	 
 	укрепляющие		укрѣпля'ющіе (м. р.), укрѣпля'ющія (ж. р. и ср. р.)	 
 	укрепляющий		укрѣпля'ющій, укрѣпля'ющаго	 
 	укроет		укро'етъ	 
 	укротитель		укроти'тель, укроти'телемъ, объ укроти'телѣ	 
 	укротительница		укроти'тельница, укроти'тельницей, объ укроти'тельницѣ	 
 	укрощение		укроще'ніе	 
 	укрощённый		укрощённый, укрощённаго	 
 	укрупнённый		укрупнённый	 
 	укрывает		укрыва'етъ, укрыва'емъ, укрыва'ешь	 
 	укупоренный		уку'поренный	 
 	укушенный		уку'шенный, уку'шеннаго	 
ул 	улаженный		ула'женный, ула'женнаго	^
 	Уле		У'ле	 
 	Улеаборг		Улеа'боргъ	 
 	улеглась		улегла'сь	 
 	улеглись		улегли'сь	 
 	улёгся		улёгся	 
 	улёгшегося		улёгшагося	 
 	улёгшиеся		улёгшіеся (м. р.), улёгшіяся (ж. р. и ср. р.)	 
 	улёгшийся		улёгшійся	 
 	улёживавшийся		улёживавшійся	 
 	улей		у'лей, въ у'льѣ	 
 	Улео		У'лео	 
 	улепётывавший		улепётывавшій	 
 	улепётывать		улепётывать	 
 	улёт		улётъ	 
 	улетать		улета'ть	 
 	улетел		улетѣ'лъ, улетѣ'ло, улетѣ'ла, улетѣ'ли	 
 	улететь		улетѣ'ть, улетѣ'лъ, улетѣ'ла, улетѣ'ли, улетѣ'ло	 
 	улетучиться		улету'читься	 
 	улечься		уле'чься	 
 	улещённый		улещённый	 
 	улизнёшь		улизнёшь	 
 	улица		у'лица, на у'лицѣ	 
 	уличённый		уличённый	 
 	уличное		у'личное, у'личнаго	 
 	уличные		у'личные (м. р.), у'личныя (ж. р. и ср. р.)	 
 	уловленный		уло'вленный	 
 	уложение		уложе'ніе (системати'ческій сбо'рникъ зако'новъ)	 
 	уложенный		уло'женный (отъ уложи'ть)	 
 	уложённый		уложённый (узако'ненный)	 
 	улучённый		улучённый	 
 	улучшение		улучше'ніе	 
 	Ульпиан		Ульпіа'нъ	 
 	ультиматум		ультима'тумъ	 
 	ультрафиолетовый		ультрафіоле'товый	 
 	Ульяна		Улья'на	 
 	улыбается		улыба'ется	 
 	улыбка		улы'бка, въ улы'бкѣ	 
ум 	умаление		умале'ніе	^
 	умалённый		умалённый	 
 	умалишённый		умалишённый, умалишённаго	 
 	умалчивает		ума'лчиваетъ, ума'лчиваете, ума'лчивается, ума'лчиваемъ, ума'лчиваешь	 
 	уманённый		уманённый	 
 	умасленный		ума'сленный	 
 	умащённый		умащённый	 
 	Умбрия		У'мбрія	 
 	уме		умѣ' (себѣ' на умѣ')	 
 	умеем		умѣ'емъ	 
 	умеет		умѣ'етъ	 
 	умеете		умѣ'ете	 
 	умеешь		умѣ'ешь	 
 	умей		умѣ'й	 
 	умейте		умѣ'йте	 
 	умел		умѣ'лъ (умѣ'лый)	 
 	умёл		умёлъ (подмёлъ)	 
 	умелая		умѣ'лая	 
 	умелец		умѣ'лецъ, объ умѣ'льцѣ	 
 	умело		умѣ'ло	 
 	умелого		умѣ'лаго	 
 	умелое		умѣ'лое	 
 	умелые		умѣ'лые (м. р.), умѣ'лыя (ж. р. и ср. р.)	 
 	умелый		умѣ'лый, умѣ'лаго, умѣ'лыми, умѣ'лыхъ	 
 	умён		умёнъ	 
 	умение		умѣ'ніе, умѣ'ніемъ	 
 	умений		умѣ'ній, умѣ'ніями	 
 	уменье		умѣ'нье, умѣ'ньемъ	 
 	уменьшать		уменьша'ть	 
 	уменьшение		уменьше'ніе	 
 	уменьшенный		уме'ньшенный, уме'ньшеннаго	 
 	уменьшённый		уменьшённый, уменьшённаго	 
 	уменьшительное		уменьши'тельное	 
 	уменьшительный		уменьши'тельный, уменьши'тельнаго	 
 	умер		у'меръ, умерла', у'мерли, у'мерло	 
 	умеренность		умѣ'ренность	 
 	умеренный		умѣ'ренный, умѣ'реннаго	 
 	умереть		умере'ть, у'меръ	 
 	умерить		умѣ'рить, умѣ'рь (пы'лъ),	 
 	умертвить		умертви'ть	 
 	умертвлённый		умертвлённый	 
 	умертвлять		умертвля'ть	 
 	умершего		уме'ршаго	 
 	умершие		уме'ршіе (м. р.), уме'ршія (ж. р. и ср. р.)	 
 	умерший		уме'ршій	 
 	умерщвление		умерщвле'ніе (не умерщевле'ніе!)	 
 	умерщвлённый		умерщвлённый (не умерщевлённый!)	 
 	умерщвлять		умерщвля'ть (не умерщевля'ть!)	 
 	умерьте		умѣ'рьте (пы'лъ), умѣря'етъ	 
 	умесить		умѣси'ть	 
 	уместно		умѣ'стно, умѣ'стное	 
 	уместного		умѣ'стнаго	 
 	уместные		умѣ'стные (м. р.), умѣ'стныя (ж. р. и ср. р.)	 
 	уместный		умѣ'стный, умѣ'стнаго, умѣ'стенъ	 
 	умёт		умётъ (скирда')	 
 	умётанный		умётанный	 
 	уметённый		уметённый	 
 	уметь		умѣ'ть, умѣ'етъ, но умётъ (скирда')	 
 	умещать		умѣща'ть	 
 	умещённый		умѣщённый	 
 	умеют		умѣ'ютъ	 
